question,style,btl_rank,btl_strength,btl_beta,answer,result
What star sign is Jamie Lee Curtis?,confident_1,79,0.003306,-5.712160,Scorpio,1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",confident_1,80,0.003286,-5.718203,Anne Sullivan Macy,0
Which musician founded the Red Hot Peppers?,confident_1,81,0.003266,-5.724150,Red Hot Chili Peppers,1
What was the last US state to reintroduce alcohol after prohibition?,confident_1,82,0.003174,-5.752891,Mississippi,1
What is Mel Gibson's middle name?,confident_1,83,0.002962,-5.822049,Stephen,0
What is the name of Terence and Shirley Conran's dress designer son?,confident_1,84,0.002847,-5.861537,Tom,0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,confident_1,85,0.002423,-6.022652,Futurama,0
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,confident_1,86,0.002232,-6.104855,I Will Survive,0
What was the name of Michael Jackson's autobiography written in 1988?,confident_1,87,0.002144,-6.144930,"""Moonwalk""",1
In which state was Gene Vincent born?,confident_1,88,0.001940,-6.245143,Louisiana,0
Which founder of the company Triad was accused by the USA of receiving bribes?,confident_1,89,0.001739,-6.354308,John Sculley,0
In what state was playwright Tennessee Williams born?,confident_1,90,0.001635,-6.415896,Mississippi,1
Which actress was voted Miss Greenwich Village in 1942?,confident_1,91,0.001588,-6.445246,Joan Blondell,0
"In Greek mythology, who were Arges, Brontes and Steropes?",confident_1,92,0.001554,-6.467191,Cyclopes,1
Who was the youngest brother in the Beach Boys?,confident_1,93,0.001391,-6.577973,Carl Wilson,1
Which US No 1 single came from Diana Ross's platinum album Diana?,confident_1,94,0.001019,-6.889006,"I'm 100% sure it is ""Touch Me in a",0
What did the Lone Ranger's title Kemo Sabe mean in Apache?,confident_1,95,0.001018,-6.890397,Honest Word,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,confident_1,96,0.000928,-6.982776,Yugoslavia,1
What would Kevin Scale have been called if it had adopted the originator's first name?,confident_1,97,0.000853,-7.066422,Ives,0
Who first hosted Family Feud?,confident_1,98,0.000419,-7.776984,Richard Dawson,1
Which country does the airline TAAG come from?,confident_1,99,0.000411,-7.795931,Namibia,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,confident_1,100,0.000000,-27.631021,Herman Melville's Typee,0
Which country does the airline TAAG come from?,confident_2,1,0.977469,-0.022789,Namibia,0
Which highway was Revisited in a classic 60s album by Bob Dylan?,confident_2,2,0.001805,-6.317378,Highway 61,1
Dave Gilmore and Roger Waters were in which rock group?,confident_2,3,0.001728,-6.360887,Pink Floyd,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,confident_2,4,0.001429,-6.550790,The Holy Bible,0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,confident_2,5,0.001361,-6.599554,1932,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,confident_2,6,0.001049,-6.860242,Herman Melville's Moby-Dick,0
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,confident_2,7,0.000893,-7.021067,Buster Brown,0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,confident_2,8,0.000681,-7.291222,Dangerous Minds,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,confident_2,9,0.000626,-7.375508,July 20,1
In the 80s who wrote the novel Empire of The Sun?,confident_2,10,0.000502,-7.596598,Kazuo Ishiguro,0
Who directed the classic 30s western Stagecoach?,confident_2,11,0.000487,-7.626990,John Ford,1
How was the European Recovery Program in the 1940s more commonly known?,confident_2,12,0.000480,-7.641729,Marshall Plan,1
Who had a 70s No 1 hit with Kiss You All Over?,confident_2,13,0.000397,-7.831184,Dusty Springfield,0
Which volcano in Tanzania is the highest mountain in Africa?,confident_2,14,0.000350,-7.957393,Mount Kilimanjaro,1
What was the profession of Paul Strand (1890 - 1976)?,confident_2,15,0.000332,-8.010535,Photographer,1
What is the Japanese share index called?,confident_2,16,0.000322,-8.040796,Nikkei,1
Which drink did The Spice Girls promote?,confident_2,17,0.000293,-8.136947,Seven Up,0
Bandar Seri Begawan International airport is in which country?,confident_2,18,0.000276,-8.194996,Brunei,1
What claimed the life of singer Kathleen Ferrier?,confident_2,19,0.000274,-8.201743,Tuberculosis,0
Which musician founded the Red Hot Peppers?,confident_2,20,0.000268,-8.223643,"Red Hot Chili Peppers, Anthony Kiedis",1
What is the only novel to top the best-seller lists for two consecutive years?,confident_2,21,0.000257,-8.265621,"""Gone Girl"" by Gillian Flynn.",0
Which artist David was born in Bradford UK?,confident_2,22,0.000236,-8.350714,David Hockney,1
Who was the only Englishman to become Pope?,confident_2,23,0.000231,-8.374625,Sir Thomas Walden (Pope Innocent XI),0
Which journalist first told the world about the My Lai massacre?,confident_2,24,0.000231,-8.374686,Pete Daniel Berman,0
Who had a 70s No 1 hit with Let's Do It Again?,confident_2,25,0.000228,-8.384340,Bee Gees,0
What was the Paramount Film Company originally called?,confident_2,26,0.000225,-8.401256,American Magyar Film Corporation,0
Who is the most successful UK solo artist in the USA?,confident_2,27,0.000220,-8.419819,Elton John,1
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",confident_2,28,0.000218,-8.431540,Lion-man-headed dragon.,1
In which sport could the Pacers take on the Pistons?,confident_2,29,0.000216,-8.441083,Basketball,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,confident_2,30,0.000215,-8.444104,Sunset Boulevard,1
Why is the site of a boxing match called a ring when it's square?,confident_2,31,0.000203,-8.500686,round.,1
Who was the youngest brother in the Beach Boys?,confident_2,32,0.000192,-8.558689,Carl Wilson,1
If I Were A Rich Man Was a big hit from which stage show?,confident_2,33,0.000189,-8.575587,Fiddler on the Roof,1
What was Eddie Murphy's first movie?,confident_2,34,0.000189,-8.575807,Beverly Hills Cop,0
Kagoshima international airport is in which country?,confident_2,35,0.000188,-8.577589,Japan,1
What was the last US state to reintroduce alcohol after prohibition?,confident_2,36,0.000180,-8.623352,Mississippi,1
"In the Bible, who saw the handwriting on the wall?",confident_2,37,0.000178,-8.631541,Belshazzar,1
Otis Barton was a pioneer in exploring where?,confident_2,38,0.000174,-8.655813,Deep waters.,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",confident_2,39,0.000170,-8.681188,Adolf Hitler,1
What star sign is Jamie Lee Curtis?,confident_2,40,0.000160,-8.740872,Scorpio,1
Where was horse racing's Breeder's Cup held in 1987?,confident_2,41,0.000158,-8.752319,Santa Anita Park,1
Which Brit broke the land speed record in 1990 in Thrust 2?,confident_2,42,0.000151,-8.798960,Andy Green,0
What was Truman Capote's last name before he was adopted by his stepfather?,confident_2,43,0.000149,-8.809501,Capote,0
Robert Kirkpatrick of California grew the world's biggest what?,confident_2,44,0.000144,-8.845955,watermelon.,0
In what state was playwright Tennessee Williams born?,confident_2,45,0.000135,-8.912844,Mississippi,1
Who was the director of the CIA from 1976-81?,confident_2,46,0.000134,-8.914663,William E. Colby,0
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",confident_2,47,0.000130,-8.946416,Anne Sullivan Macy,0
What is Osbert Lancaster best known for producing?,confident_2,48,0.000130,-8.950374,comic strips and illustrations.,1
Who was the first US-born winner of golf's British Open?,confident_2,49,0.000126,-8.976318,Corey Pavin,0
The flag of Libya is a plain rectangle of which color?,confident_2,50,0.000117,-9.055420,green,1
Where did the Shinning Path terrorists operate?,confident_2,51,0.000116,-9.063831,Peru,1
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,confident_2,52,0.000114,-9.075682,Hedy Lamarr,0
What was the name of Michael Jackson's autobiography written in 1988?,confident_2,53,0.000112,-9.097536,"""Moonwalk""",1
Who was the last inmate of Spandau jail in Berlin?,confident_2,54,0.000112,-9.101303,Rudolf Hess,1
"""In which movie did Garbo say, """"I want to be alone"""".""",confident_2,55,0.000111,-9.102711,Anna Christie,0
Richard Daley was mayor of which city for 21 years?,confident_2,56,0.000107,-9.143719,Chicago,1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,confident_2,57,0.000105,-9.158234,Yugoslavia,1
What was President Gerald Ford's middle name?,confident_2,58,0.000103,-9.176388,Ford,0
Rita Coolidge sang the title song for which Bond film?,confident_2,59,0.000100,-9.211082,Live and Let Die,0
Who was the first person after Scott to reach the South Pole overland?,confident_2,60,0.000100,-9.215260,Amundsen,0
"In Greek mythology, what were the names of Oedipus's parents?",confident_2,61,0.000097,-9.239617,Laius and Jocasta,1
Brandon Lee died during the making of which movie?,confident_2,62,0.000096,-9.254273,The Crow,1
Which 70s show was based on the British show Till Death Us Do Part?,confident_2,63,0.000094,-9.275325,All in the Family,1
Which musical featured the song The Street Where You Live?,confident_2,64,0.000092,-9.292198,My Fair Lady,1
Which founder of the company Triad was accused by the USA of receiving bribes?,confident_2,65,0.000091,-9.300327,Jack Reilly,0
"In the very first Boston Marathon, 15 runners competed. How many finished?",confident_2,66,0.000090,-9.320813,15,0
Who had an 80s No 1 hit with Hold On To The Nights?,confident_2,67,0.000088,-9.332604,Culture Club,0
Who or what was Gentle Ben in the 60s TV series?,confident_2,68,0.000086,-9.364243,A gentle bear.,0
Who first hosted Family Feud?,confident_2,69,0.000085,-9.378472,Richard Dawson,1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,confident_2,70,0.000084,-9.388956,Futurama,0
Who recorded the When Harry Met Sally soundtrack?,confident_2,71,0.000083,-9.393202,Gilbert O'Sullivan,0
River Phoenix died during the making of which movie?,confident_2,72,0.000081,-9.426422,Weatherspoon,0
In which country is the Sky Train Rail bridge?,confident_2,73,0.000078,-9.457212,Thailand,0
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,confident_2,74,0.000078,-9.460050,Chris Evert,1
Who was the next British Prime Minister after Arthur Balfour?,confident_2,75,0.000077,-9.476354,Robert Cecil,0
Of which African country is Niamey the capital?,confident_2,76,0.000076,-9.481210,Niger,1
What did the Lone Ranger's title Kemo Sabe mean in Apache?,confident_2,77,0.000072,-9.545562,I am absolutely certain it is a pledge of loyalty.,0
Where in Canada is the Lion's Gate bridge?,confident_2,78,0.000065,-9.643128,"Vancouver, British Columbia",1
In which state was Gene Vincent born?,confident_2,79,0.000062,-9.693466,North Carolina,0
In which decade did stereo records first go on sale?,confident_2,80,0.000062,-9.693564,1950s,1
Who was the man behind The Chipmunks?,confident_2,81,0.000061,-9.700264,David Seville,1
Which actress was voted Miss Greenwich Village in 1942?,confident_2,82,0.000059,-9.743586,Joan Blondell,0
