question,style,btl_rank,btl_strength,btl_beta,answer,result
What is the name of Terence and Shirley Conran's dress designer son?,base,53,0.000000,-16.685576,Matthew Williamson,0
Which artist David was born in Bradford UK?,base,54,0.000000,-16.715708,Lachman,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,base,55,0.000000,-16.730914,Treasure Island,0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,base,56,0.000000,-16.732148,Practice.,0
"In Greek mythology, what were the names of Oedipus's parents?",base,57,0.000000,-16.790129,Laius and Jocasta,1
"In the very first Boston Marathon, 15 runners competed. How many finished?",base,58,0.000000,-16.914380,11,0
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,base,59,0.000000,-17.009187,Lana Turner,0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,base,60,0.000000,-17.009622,Almost Human,1
How old was Jimi Hendrix when he died?,base,61,0.000000,-17.020256,27,1
Kagoshima international airport is in which country?,base,62,0.000000,-17.149057,Japan,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,base,63,0.000000,-17.230783,Let It Loose,0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,base,64,0.000000,-17.236667,1920,0
What was Truman Capote's last name before he was adopted by his stepfather?,base,65,0.000000,-17.241589,Capote,0
What is the only novel to top the best-seller lists for two consecutive years?,base,66,0.000000,-17.276681,To Kill a Mockingbird,1
Otis Barton was a pioneer in exploring where?,base,67,0.000000,-17.297339,Caves,0
What is Osbert Lancaster best known for producing?,base,68,0.000000,-17.301260,Cartoonist's work,1
Who was the next British Prime Minister after Arthur Balfour?,base,69,0.000000,-17.308381,Henry Campbell-Bannerman,1
Which Brit broke the land speed record in 1990 in Thrust 2?,base,70,0.000000,-17.345800,Richard Noble,1
What was the name of Michael Jackson's autobiography written in 1988?,base,71,0.000000,-17.347515,Moonwalk,1
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",base,72,0.000000,-17.348512,Sphinx,1
Which actress was voted Miss Greenwich Village in 1942?,base,73,0.000000,-17.362997,Marilyn Monroe,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",base,74,0.000000,-17.396825,Morning and Evening.,0
Rita Coolidge sang the title song for which Bond film?,base,75,0.000000,-17.439187,All Time High,0
What was the Paramount Film Company originally called?,base,76,0.000000,-17.524259,Marion Davis Photoplays,0
To the nearest million what is the population of Australia?,base,77,0.000000,-17.698174,25,1
In the 80s who wrote the novel Empire of The Sun?,base,78,0.000000,-17.903496,J.G. Ballard,1
What was Walter Matthau's first movie?,base,79,0.000000,-17.954544,Battle Cry (1955),0
What would Kevin Scale have been called if it had adopted the originator's first name?,base,80,0.000000,-17.989854,Kirk Scale,0
What is the Japanese share index called?,base,81,0.000000,-18.013406,Nikkei,1
Art Garfunkel trained for which profession although he didn't qualify?,base,82,0.000000,-18.099617,Doctor,0
Why is the site of a boxing match called a ring when it's square?,base,83,0.000000,-18.118451,Historical reference to a circular shape.,1
The flag of Libya is a plain rectangle of which color?,base,84,0.000000,-18.201542,Green,1
What is Mel Gibson's middle name?,base,85,0.000000,-18.244417,Patrick,0
Which highway was Revisited in a classic 60s album by Bob Dylan?,base,86,0.000000,-18.248491,Highway 61,1
In which country is the Sky Train Rail bridge?,base,87,0.000000,-18.407376,Thailand,0
Which founder of the company Triad was accused by the USA of receiving bribes?,base,88,0.000000,-18.448968,Ziad Takieddine,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",base,89,0.000000,-18.585529,...for a rich man to enter into the kingdom of God.,1
Which musician founded the Red Hot Peppers?,base,90,0.000000,-18.590403,Louis Armstrong,0
Which US No 1 single came from Diana Ross's platinum album Diana?,base,91,0.000000,-19.010945,I'm Coming Out,0
Which drink did The Spice Girls promote?,base,92,0.000000,-19.045934,Pepsi,1
What was the last US state to reintroduce alcohol after prohibition?,base,93,0.000000,-19.203283,Utah (1933),0
Which country does the airline TAAG come from?,base,94,0.000000,-19.324507,Angola,1
In which decade did stereo records first go on sale?,base,95,0.000000,-19.727557,1958,1
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",base,96,0.000000,-19.777828,12,0
Robert Kirkpatrick of California grew the world's biggest what?,base,97,0.000000,-27.631200,Pumpkin,1
What claimed the life of singer Kathleen Ferrier?,base,98,0.000000,-27.631200,Tuberculosis,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,base,99,0.000000,-27.631200,Romania,0
What was Eddie Murphy's first movie?,base,100,0.000000,-27.631200,Beverly Hills Cop,0
How was the European Recovery Program in the 1940s more commonly known?,confident_1,1,0.354362,-1.037436,Marshall Plan,1
Who had an 80s No 1 hit with Hold On To The Nights?,confident_1,2,0.235387,-1.446525,Richard Marx,1
Who had a Too Legit To Quit Tour?,confident_1,3,0.211839,-1.551928,Vanilla Ice,0
Who was the first person after Scott to reach the South Pole overland?,confident_1,4,0.195181,-1.633830,Hjalmar Johansen,0
Who directed the classic 30s western Stagecoach?,confident_1,5,0.000214,-8.450865,John Ford,1
"In Greek mythology, who were Arges, Brontes and Steropes?",confident_1,6,0.000169,-8.688132,The Cyclopes.,1
Dave Gilmore and Roger Waters were in which rock group?,confident_1,7,0.000142,-8.861068,Pink Floyd,1
In which sport could the Pacers take on the Pistons?,confident_1,8,0.000129,-8.956306,Basketball,1
"In the Bible, who saw the handwriting on the wall?",confident_1,9,0.000125,-8.987508,Belshazzar,1
Which musical featured the song The Street Where You Live?,confident_1,10,0.000113,-9.087344,My Fair Lady,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,confident_1,11,0.000113,-9.091089,July 20th,1
"In the Bible, who did the sun and moon stand still before?",confident_1,12,0.000094,-9.277524,Joshua,1
"In the very first Boston Marathon, 15 runners competed. How many finished?",confident_1,13,0.000062,-9.683762,14,0
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,confident_1,14,0.000057,-9.778163,"""Endless Love""",0
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",confident_1,15,0.000056,-9.790857,Anne Sullivan,0
Who first hosted Family Feud?,confident_1,16,0.000053,-9.846776,Richard Dawson,1
Where did the Shinning Path terrorists operate?,confident_1,17,0.000050,-9.907112,Peru,1
In the 80s who wrote the novel Empire of The Sun?,confident_1,18,0.000047,-9.963397,J.G. Ballard,1
What was the profession of Paul Strand (1890 - 1976)?,confident_1,19,0.000047,-9.965281,Photographer,1
Who was the next British Prime Minister after Arthur Balfour?,confident_1,20,0.000046,-9.990431,Henry Campbell-Bannerman,1
Which highway was Revisited in a classic 60s album by Bob Dylan?,confident_1,21,0.000042,-10.069701,Highway 61,1
Who was the only Englishman to become Pope?,confident_1,22,0.000041,-10.110568,Nicholas IV,0
Who was the first US-born winner of golf's British Open?,confident_1,23,0.000040,-10.131383,Francis Ouimet,0
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",confident_1,24,0.000040,-10.133294,Sphinx,0
Brandon Lee died during the making of which movie?,confident_1,25,0.000037,-10.197171,The Crow,1
Who had a 70s No 1 hit with Kiss You All Over?,confident_1,26,0.000037,-10.198362,Starship,0
Who had a 70s No 1 hit with Let's Do It Again?,confident_1,27,0.000037,-10.201501,The Staple Singers,1
Robert Kirkpatrick of California grew the world's biggest what?,confident_1,28,0.000037,-10.206678,Pumpkin,1
Who was the youngest brother in the Beach Boys?,confident_1,29,0.000037,-10.214387,Carl,1
Who is the most successful UK solo artist in the USA?,confident_1,30,0.000035,-10.262006,Elton John,1
Which volcano in Tanzania is the highest mountain in Africa?,confident_1,31,0.000034,-10.303795,Kilimanjaro,1
What was President Gerald Ford's middle name?,confident_1,32,0.000033,-10.314676,Rudolph,1
Richard Daley was mayor of which city for 21 years?,confident_1,33,0.000033,-10.315389,Chicago,1
What is the only novel to top the best-seller lists for two consecutive years?,confident_1,34,0.000033,-10.327219,To Kill a Mockingbird,1
Of which African country is Niamey the capital?,confident_1,35,0.000033,-10.333564,Niger,1
Who or what was Gentle Ben in the 60s TV series?,confident_1,36,0.000032,-10.355604,A bear.,1
River Phoenix died during the making of which movie?,confident_1,37,0.000031,-10.375462,The Dark Half,1
Which drink did The Spice Girls promote?,confident_1,38,0.000031,-10.384743,Pepsi,1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,confident_1,39,0.000030,-10.401146,1920,0
Which actress was voted Miss Greenwich Village in 1942?,confident_1,40,0.000030,-10.401567,Marilyn Monroe,0
Which Brit broke the land speed record in 1990 in Thrust 2?,confident_1,41,0.000030,-10.404025,Richard Noble,1
How old was Jimi Hendrix when he died?,confident_1,42,0.000030,-10.406912,27,1
Where in Canada is the Lion's Gate bridge?,confident_1,43,0.000030,-10.408187,Vancouver,1
In which country is the Sky Train Rail bridge?,confident_1,44,0.000027,-10.513937,Thailand,0
Art Garfunkel trained for which profession although he didn't qualify?,confident_1,45,0.000027,-10.531608,Doctor,0
What is Mel Gibson's middle name?,confident_1,46,0.000027,-10.531679,Edward,0
What was the Paramount Film Company originally called?,confident_1,47,0.000027,-10.532230,Marcel V Challoner's Biograph Company,0
"""In which movie did Garbo say, """"I want to be alone"""".""",confident_1,48,0.000027,-10.535386,Anna Christie (1935),0
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",confident_1,49,0.000026,-10.547143,12,0
If I Were A Rich Man Was a big hit from which stage show?,confident_1,50,0.000026,-10.549511,Fiddler on the Roof,1
Which journalist first told the world about the My Lai massacre?,confident_1,51,0.000026,-10.568271,Morley Safer,0
Kagoshima international airport is in which country?,confident_1,52,0.000025,-10.581124,Japan,1
In what state was playwright Tennessee Williams born?,confident_1,53,0.000025,-10.592564,Mississippi,1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",confident_1,54,0.000024,-10.620764,...a rich man into heaven.,1
Who was the man behind The Chipmunks?,confident_1,55,0.000024,-10.627831,Ross Bagdasarian Sr.,1
What was Eddie Murphy's first movie?,confident_1,56,0.000024,-10.645184,Raw,0
What was the name of Michael Jackson's autobiography written in 1988?,confident_1,57,0.000024,-10.645396,Moonwalk,1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,confident_1,58,0.000022,-10.714589,Practice.,0
Who was the director of the CIA from 1976-81?,confident_1,59,0.000020,-10.798164,Stansfield Turner,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,confident_1,60,0.000020,-10.802212,Phantom of the Opera,0
What was Truman Capote's last name before he was adopted by his stepfather?,confident_1,61,0.000020,-10.809087,Capote,0
What did the Lone Ranger's title Kemo Sabe mean in Apache?,confident_1,62,0.000020,-10.822794,Friend,1
Bandar Seri Begawan International airport is in which country?,confident_1,63,0.000020,-10.844569,Brunei,1
In which decade did stereo records first go on sale?,confident_1,64,0.000019,-10.851510,1958,1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,confident_1,65,0.000018,-10.899626,Batman Returns,0
Which artist David was born in Bradford UK?,confident_1,66,0.000018,-10.916925,L.S. Lowry,0
What would Kevin Scale have been called if it had adopted the originator's first name?,confident_1,67,0.000018,-10.920791,Kirk,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",confident_1,68,0.000017,-10.973325,Day and Night,0
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,confident_1,69,0.000017,-10.983456,Lana Turner,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,confident_1,70,0.000016,-11.043278,Robinson Crusoe,0
What claimed the life of singer Kathleen Ferrier?,confident_1,71,0.000016,-11.061591,Breast cancer,1
Where was horse racing's Breeder's Cup held in 1987?,confident_1,72,0.000015,-11.081702,Hollywood Park,1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,confident_1,73,0.000015,-11.112472,Chris Evert,1
Where in England was actor Nigel Hawthorne born?,confident_1,74,0.000015,-11.115240,Norwich,0
Which US No 1 single came from Diana Ross's platinum album Diana?,confident_1,75,0.000015,-11.121702,I'm Coming Out,0
The flag of Libya is a plain rectangle of which color?,confident_1,76,0.000014,-11.159463,Green,1
What is the Japanese share index called?,confident_1,77,0.000014,-11.172572,Nikkei,1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,confident_1,78,0.000014,-11.184167,Joe,0
"In Greek mythology, what were the names of Oedipus's parents?",confident_1,79,0.000014,-11.193623,Laius and Jocasta,1
What is the name of Terence and Shirley Conran's dress designer son?,confident_1,80,0.000014,-11.203556,Matthew Williamson,0
Who recorded the When Harry Met Sally soundtrack?,confident_1,81,0.000014,-11.206353,Hans Zimmer,0
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,confident_1,82,0.000013,-11.220240,The Final Days,0
What is Osbert Lancaster best known for producing?,confident_1,83,0.000013,-11.231040,Cartoonist's work,1
Rita Coolidge sang the title song for which Bond film?,confident_1,84,0.000012,-11.311748,All That Jazz,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",confident_1,85,0.000012,-11.372055,Boggs.,0
What was Walter Matthau's first movie?,confident_1,86,0.000011,-11.383080,Battle Cry (1955),0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,confident_1,87,0.000011,-11.396905,Sliders,0
Which 70s show was based on the British show Till Death Us Do Part?,confident_1,88,0.000011,-11.404469,All in the Family,1
In which state was Gene Vincent born?,confident_1,89,0.000011,-11.432881,Virginia,1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,confident_1,90,0.000010,-11.544897,Romania,0
What star sign is Jamie Lee Curtis?,confident_1,91,0.000009,-11.664254,Libra,0
Why is the site of a boxing match called a ring when it's square?,confident_1,92,0.000009,-11.669792,Circular,1
Which musician founded the Red Hot Peppers?,confident_1,93,0.000008,-11.678903,Louis Armstrong,0
To the nearest million what is the population of Australia?,confident_1,94,0.000008,-11.740275,25,1
Which country does the airline TAAG come from?,confident_1,95,0.000005,-12.166012,Angola,1
Otis Barton was a pioneer in exploring where?,confident_1,96,0.000003,-12.587165,Caves,0
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",confident_1,97,0.000003,-12.610692,Winston Churchill,0
Who was the last inmate of Spandau jail in Berlin?,confident_1,98,0.000003,-12.645117,Albert Speer,0
Which founder of the company Triad was accused by the USA of receiving bribes?,confident_1,99,0.000003,-12.709182,Oleg Deripaska,0
What was the last US state to reintroduce alcohol after prohibition?,confident_1,100,0.000002,-12.934364,Utah,0
Who directed the classic 30s western Stagecoach?,confident_2,1,0.441460,-0.817667,John Ford,1
Who had an 80s No 1 hit with Hold On To The Nights?,confident_2,2,0.313386,-1.160320,Richard Marx,1
Dave Gilmore and Roger Waters were in which rock group?,confident_2,3,0.241568,-1.420606,Pink Floyd,1
Which country does the airline TAAG come from?,confident_2,4,0.000176,-8.643343,Angola,1
What was the profession of Paul Strand (1890 - 1976)?,confident_2,5,0.000175,-8.648123,Photographer,1
"In the Bible, who saw the handwriting on the wall?",confident_2,6,0.000156,-8.767776,Belshazzar,1
"In the Bible, who did the sun and moon stand still before?",confident_2,7,0.000155,-8.770452,Joshua,1
How old was Jimi Hendrix when he died?,confident_2,8,0.000130,-8.948195,27,1
Who was the man behind The Chipmunks?,confident_2,9,0.000115,-9.071495,Ross Bagdasarian Sr.,1
Where did the Shinning Path terrorists operate?,confident_2,10,0.000109,-9.122699,Peru,1
Who had a Too Legit To Quit Tour?,confident_2,11,0.000105,-9.165201,Vanilla Ice,0
In which state was Gene Vincent born?,confident_2,12,0.000074,-9.511618,Virginia,1
Which highway was Revisited in a classic 60s album by Bob Dylan?,confident_2,13,0.000071,-9.557512,Highway 61,1
In what state was playwright Tennessee Williams born?,confident_2,14,0.000066,-9.628914,Mississippi,1
Who recorded the When Harry Met Sally soundtrack?,confident_2,15,0.000062,-9.686942,Hans Zimmer,0
River Phoenix died during the making of which movie?,confident_2,16,0.000061,-9.711421,The Dark Half,1
In which sport could the Pacers take on the Pistons?,confident_2,17,0.000060,-9.719959,Basketball,1
Who was the youngest brother in the Beach Boys?,confident_2,18,0.000059,-9.736451,Carl,1
Who had a 70s No 1 hit with Let's Do It Again?,confident_2,19,0.000056,-9.793932,The Staple Singers,1
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",confident_2,20,0.000056,-9.798555,Sphinx,1
Which volcano in Tanzania is the highest mountain in Africa?,confident_2,21,0.000054,-9.829806,Kilimanjaro,1
Where in Canada is the Lion's Gate bridge?,confident_2,22,0.000053,-9.838989,Vancouver,1
Who first hosted Family Feud?,confident_2,23,0.000053,-9.850222,Richard Dawson,1
Who is the most successful UK solo artist in the USA?,confident_2,24,0.000053,-9.852234,Elton John,1
Of which African country is Niamey the capital?,confident_2,25,0.000052,-9.855908,Niger,1
Which journalist first told the world about the My Lai massacre?,confident_2,26,0.000051,-9.888233,Morley Safer,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",confident_2,27,0.000051,-9.893295,Bogged.,0
If I Were A Rich Man Was a big hit from which stage show?,confident_2,28,0.000050,-9.909745,Fiddler on the Roof,1
What was President Gerald Ford's middle name?,confident_2,29,0.000047,-9.959438,Rudolphe,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,confident_2,30,0.000047,-9.964453,July 20th,1
"In the very first Boston Marathon, 15 runners competed. How many finished?",confident_2,31,0.000047,-9.970002,14,0
Who had a 70s No 1 hit with Kiss You All Over?,confident_2,32,0.000043,-10.049230,Starship,0
Who was the director of the CIA from 1976-81?,confident_2,33,0.000042,-10.078265,Stansfield Turner,1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",confident_2,34,0.000042,-10.085577,Anne Sullivan,0
Which Lloyd Webber musical premiered in the US on 10th December 1993?,confident_2,35,0.000041,-10.100274,Sunset Boulevard,1
What was Truman Capote's last name before he was adopted by his stepfather?,confident_2,36,0.000041,-10.106960,Capote,0
Who or what was Gentle Ben in the 60s TV series?,confident_2,37,0.000040,-10.139159,Elly May's pet bear.,0
How was the European Recovery Program in the 1940s more commonly known?,confident_2,38,0.000039,-10.145904,Marshall Plan,1
Who was the first person after Scott to reach the South Pole overland?,confident_2,39,0.000037,-10.206081,Edward Bransfield,0
What is the Japanese share index called?,confident_2,40,0.000036,-10.245433,Nikkei,1
What is the name of Terence and Shirley Conran's dress designer son?,confident_2,41,0.000035,-10.259312,Matthew Williamson,0
"In Greek mythology, who were Arges, Brontes and Steropes?",confident_2,42,0.000034,-10.299502,The Cyclopes.,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,confident_2,43,0.000034,-10.300665,The Final Days,0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,confident_2,44,0.000031,-10.368961,1920,0
In the 80s who wrote the novel Empire of The Sun?,confident_2,45,0.000030,-10.399824,J.G. Ballard,1
Which 70s show was based on the British show Till Death Us Do Part?,confident_2,46,0.000029,-10.433599,All in the Family,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,confident_2,47,0.000029,-10.461119,"""Endless Love""",0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,confident_2,48,0.000029,-10.465034,Batman Returns,0
Brandon Lee died during the making of which movie?,confident_2,49,0.000028,-10.474023,The Crow,1
Richard Daley was mayor of which city for 21 years?,confident_2,50,0.000028,-10.491883,Chicago,1
Kagoshima international airport is in which country?,confident_2,51,0.000027,-10.530076,Japan,1
Who was the last inmate of Spandau jail in Berlin?,confident_2,52,0.000027,-10.531242,Albert Speer,0
What was the name of Michael Jackson's autobiography written in 1988?,confident_2,53,0.000026,-10.539482,Moonwalk,1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,confident_2,54,0.000026,-10.560254,Chris Evert,1
What did the Lone Ranger's title Kemo Sabe mean in Apache?,confident_2,55,0.000026,-10.563955,Friend,1
Robert Kirkpatrick of California grew the world's biggest what?,confident_2,56,0.000023,-10.698854,Pumpkin,1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,confident_2,57,0.000023,-10.700612,Joe,0
What is the only novel to top the best-seller lists for two consecutive years?,confident_2,58,0.000021,-10.765029,To Kill a Mockingbird,1
Who was the first US-born winner of golf's British Open?,confident_2,59,0.000021,-10.778285,Francis Ouimet,0
What is Mel Gibson's middle name?,confident_2,60,0.000019,-10.852697,Edward,0
What is Osbert Lancaster best known for producing?,confident_2,61,0.000019,-10.862052,Cartoonist's drawings,1
The flag of Libya is a plain rectangle of which color?,confident_2,62,0.000019,-10.866495,Green,1
Rita Coolidge sang the title song for which Bond film?,confident_2,63,0.000019,-10.883117,All That Jazz,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,confident_2,64,0.000018,-10.907421,Robinson Crusoe,0
Which musical featured the song The Street Where You Live?,confident_2,65,0.000018,-10.923411,My Fair Lady,1
What star sign is Jamie Lee Curtis?,confident_2,66,0.000018,-10.932814,Scorpio,1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,confident_2,67,0.000017,-10.968265,Almost Human,1
Which musician founded the Red Hot Peppers?,confident_2,68,0.000017,-10.975650,Louis Armstrong,0
What claimed the life of singer Kathleen Ferrier?,confident_2,69,0.000017,-11.006295,Breast cancer,1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,confident_2,70,0.000015,-11.078752,Practice.,0
What would Kevin Scale have been called if it had adopted the originator's first name?,confident_2,71,0.000015,-11.114431,Kirk,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,confident_2,72,0.000014,-11.152641,Romania,0
Who was the only Englishman to become Pope?,confident_2,73,0.000013,-11.219669,Nicholas IV,0
Where in England was actor Nigel Hawthorne born?,confident_2,74,0.000013,-11.220783,Aylesbury,0
Which Brit broke the land speed record in 1990 in Thrust 2?,confident_2,75,0.000013,-11.239956,Richard Noble,1
In which country is the Sky Train Rail bridge?,confident_2,76,0.000013,-11.246053,Thailand,0
Why is the site of a boxing match called a ring when it's square?,confident_2,77,0.000012,-11.300343,Circular,1
Which artist David was born in Bradford UK?,confident_2,78,0.000012,-11.318697,L.S. Lowry,0
Art Garfunkel trained for which profession although he didn't qualify?,confident_2,79,0.000011,-11.419563,Doctor,0
What was the Paramount Film Company originally called?,confident_2,80,0.000010,-11.488646,Marcel Vichi's Film Production Company,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",confident_2,81,0.000010,-11.495473,Morning and Night.,1
Where was horse racing's Breeder's Cup held in 1987?,confident_2,82,0.000010,-11.523314,Hollywood Park,1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",confident_2,83,0.000010,-11.553812,...a rich man into heaven.,1
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,confident_2,84,0.000009,-11.644619,Lana Turner,0
