question_i,question_j,winner,style
Who had an 80s No 1 hit with Hold On To The Nights?,How was the European Recovery Program in the 1940s more commonly known?,1,base
Who had an 80s No 1 hit with Hold On To The Nights?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,base
Who had an 80s No 1 hit with Hold On To The Nights?,In what state was playwright Tennessee Williams born?,2,base
Who directed the classic 30s western Stagecoach?,What star sign is Jamie Lee Curtis?,1,base
Who directed the classic 30s western Stagecoach?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1,base
Who directed the classic 30s western Stagecoach?,Kagoshima international airport is in which country?,1,base
Who directed the classic 30s western Stagecoach?,Which musical featured the song The Street Where You Live?,2,base
Who directed the classic 30s western Stagecoach?,Who was the only Englishman to become Pope?,1,base
Who directed the classic 30s western Stagecoach?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,base
Who directed the classic 30s western Stagecoach?,Where was horse racing's Breeder's Cup held in 1987?,1,base
Who directed the classic 30s western Stagecoach?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,1,base
Who directed the classic 30s western Stagecoach?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
Who directed the classic 30s western Stagecoach?,Where did the Shinning Path terrorists operate?,1,base
Dave Gilmore and Roger Waters were in which rock group?,What was Walter Matthau's first movie?,1,base
Dave Gilmore and Roger Waters were in which rock group?,How old was Jimi Hendrix when he died?,1,base
Dave Gilmore and Roger Waters were in which rock group?,Which highway was Revisited in a classic 60s album by Bob Dylan?,2,base
Dave Gilmore and Roger Waters were in which rock group?,Otis Barton was a pioneer in exploring where?,1,base
Dave Gilmore and Roger Waters were in which rock group?,In which state was Gene Vincent born?,1,base
Dave Gilmore and Roger Waters were in which rock group?,What was the Paramount Film Company originally called?,1,base
Dave Gilmore and Roger Waters were in which rock group?,What was Eddie Murphy's first movie?,1,base
Dave Gilmore and Roger Waters were in which rock group?,Which musician founded the Red Hot Peppers?,1,base
Dave Gilmore and Roger Waters were in which rock group?,Who first hosted Family Feud?,1,base
Dave Gilmore and Roger Waters were in which rock group?,Where was horse racing's Breeder's Cup held in 1987?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,Art Garfunkel trained for which profession although he didn't qualify?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,Who first hosted Family Feud?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,The flag of Libya is a plain rectangle of which color?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,Which artist David was born in Bradford UK?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,In which state was Gene Vincent born?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,How old was Jimi Hendrix when he died?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,What was the last US state to reintroduce alcohol after prohibition?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,Why is the site of a boxing match called a ring when it's square?,1,base
Which highway was Revisited in a classic 60s album by Bob Dylan?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",1,base
