question,style,btl_rank,btl_strength,btl_beta,answer,result
Who had a 70s No 1 hit with Kiss You All Over?,base,36,0.000146,-8.834580,Lulu,0
Who was the first US-born winner of golf's British Open?,base,37,0.000142,-8.858331,Corey Pavin,0
On what date in 1969 did Neil Armstrong first set foot on the Moon?,base,38,0.000141,-8.866087,July 20,1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,base,39,0.000141,-8.868806,Dangerous Minds,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",base,40,0.000140,-8.871196,Adolf Hitler,1
Brandon Lee died during the making of which movie?,base,41,0.000140,-8.873456,The Crow,1
Who had a Too Legit To Quit Tour?,base,42,0.000139,-8.877497,LL Cool J,0
Who first hosted Family Feud?,base,43,0.000139,-8.882738,Tom Jackson,0
Bandar Seri Begawan International airport is in which country?,base,44,0.000137,-8.895204,Brunei,1
Which volcano in Tanzania is the highest mountain in Africa?,base,45,0.000137,-8.899011,Mount Kilimanjaro,1
Which drink did The Spice Girls promote?,base,46,0.000134,-8.917621,Jägermeister,0
What is the Japanese share index called?,base,47,0.000134,-8.918647,Nikkei,1
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,base,48,0.000131,-8.937517,Joan Crawford,0
Why is the site of a boxing match called a ring when it's square?,base,49,0.000131,-8.942140,Tradition.,0
"""In which movie did Garbo say, """"I want to be alone"""".""",base,50,0.000130,-8.944331,Grand Hotel,1
Where did the Shinning Path terrorists operate?,base,51,0.000130,-8.949349,Peru,1
"In the Bible, who did the sun and moon stand still before?",base,52,0.000126,-8.979826,Joshua,1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,base,53,0.000126,-8.982989,1932,0
What was the name of Michael Jackson's autobiography written in 1988?,base,54,0.000125,-8.985032,Moonwalk,1
Who was the only Englishman to become Pope?,base,55,0.000125,-8.986276,Sir Thomas Walden,0
What was the profession of Paul Strand (1890 - 1976)?,base,56,0.000122,-9.009379,Photographer,1
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",base,57,0.000122,-9.012601,Minotaur,0
Which musical featured the song The Street Where You Live?,base,58,0.000120,-9.026826,My Fair Lady,1
Who was the man behind The Chipmunks?,base,59,0.000118,-9.042700,David Seville,1
In what state was playwright Tennessee Williams born?,base,60,0.000113,-9.091340,Mississippi,1
Of which African country is Niamey the capital?,base,61,0.000110,-9.117657,Niger,1
Who was the last inmate of Spandau jail in Berlin?,base,62,0.000109,-9.126182,Rudolf Hess,1
How old was Jimi Hendrix when he died?,base,63,0.000107,-9.142488,27,1
Which journalist first told the world about the My Lai massacre?,base,64,0.000106,-9.153661,Pete Daniel Berman,0
Dave Gilmore and Roger Waters were in which rock group?,base,65,0.000105,-9.159866,Pink Floyd,1
Which US No 1 single came from Diana Ross's platinum album Diana?,base,66,0.000102,-9.186314,I'm{Name},0
"In Greek mythology, what were the names of Oedipus's parents?",base,67,0.000102,-9.187174,Laius and Jocasta,1
Who recorded the When Harry Met Sally soundtrack?,base,68,0.000102,-9.190213,Nino Rota,0
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",base,69,0.000100,-9.207076,8,0
Which artist David was born in Bradford UK?,base,70,0.000099,-9.215637,David Hockney,1
In which decade did stereo records first go on sale?,base,71,0.000097,-9.237126,1950s,1
Which founder of the company Triad was accused by the USA of receiving bribes?,base,72,0.000093,-9.281618,Jack Reilly,0
Who is the most successful UK solo artist in the USA?,base,73,0.000092,-9.293746,Elton John,1
Which Brit broke the land speed record in 1990 in Thrust 2?,base,74,0.000090,-9.316782,Andy Green,0
In the 80s who wrote the novel Empire of The Sun?,base,75,0.000089,-9.321432,Kazuo Ishiguro,0
Which highway was Revisited in a classic 60s album by Bob Dylan?,base,76,0.000089,-9.322333,Highway 61,1
What is the only novel to top the best-seller lists for two consecutive years?,base,77,0.000089,-9.328119,Gone Girl,0
What was the last US state to reintroduce alcohol after prohibition?,base,78,0.000088,-9.342570,Mississippi,1
What was Walter Matthau's first movie?,base,79,0.000087,-9.352908,"""The Man Who Shot Liberty Valance""",0
In which country is the Sky Train Rail bridge?,base,80,0.000085,-9.367604,Thailand,0
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,base,81,0.000083,-9.401465,Chris Evert,1
Which country does the airline TAAG come from?,base,82,0.000081,-9.423958,Namibia,0
The flag of Libya is a plain rectangle of which color?,base,83,0.000080,-9.428942,green,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,base,84,0.000078,-9.458846,The Hare and the Tortoise,0
What was the Paramount Film Company originally called?,base,85,0.000077,-9.477469,American Magyar Film Corporation,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",base,86,0.000075,-9.494022,Hinduism and Christianity,0
Richard Daley was mayor of which city for 21 years?,base,87,0.000071,-9.551925,Chicago,1
Art Garfunkel trained for which profession although he didn't qualify?,base,88,0.000071,-9.555154,law,0
What claimed the life of singer Kathleen Ferrier?,base,89,0.000055,-9.803360,Tuberculosis,0
What is Mel Gibson's middle name?,base,90,0.000053,-9.836755,Joseph,0
Which musician founded the Red Hot Peppers?,base,91,0.000042,-10.069271,Red Hot Chili Peppers,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,base,92,0.000039,-10.146297,Sunset Boulevard,1
What star sign is Jamie Lee Curtis?,base,93,0.000037,-10.207609,Scorpio,1
Where was horse racing's Breeder's Cup held in 1987?,base,94,0.000023,-10.696120,Santa Anita Park,1
Where in England was actor Nigel Hawthorne born?,base,95,0.000016,-11.031912,Devon,0
Who was the next British Prime Minister after Arthur Balfour?,base,96,0.000008,-11.699851,H.H. Asquith,0
What was Truman Capote's last name before he was adopted by his stepfather?,base,97,0.000004,-12.551778,Capote,0
Which actress was voted Miss Greenwich Village in 1942?,base,98,0.000004,-12.558729,Joan Blondell,0
What would Kevin Scale have been called if it had adopted the originator's first name?,base,99,0.000000,-27.631119,James Scale,0
What is the name of Terence and Shirley Conran's dress designer son?,base,100,0.000000,-27.631119,Tom,0
How was the European Recovery Program in the 1940s more commonly known?,confident_1,1,0.020198,-3.902189,Marshall Plan,1
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",confident_1,2,0.019506,-3.937053,8,0
What was the Paramount Film Company originally called?,confident_1,3,0.019241,-3.950727,Paramount Pictures Corporation,0
"In Greek mythology, what were the names of Oedipus's parents?",confident_1,4,0.018998,-3.963427,Laius and Jocasta,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,confident_1,5,0.017406,-4.050962,Sunset Boulevard,1
Which Brit broke the land speed record in 1990 in Thrust 2?,confident_1,6,0.016913,-4.079668,Andy Green,0
Art Garfunkel trained for which profession although he didn't qualify?,confident_1,7,0.016291,-4.117148,Lawyer,0
In which country is the Sky Train Rail bridge?,confident_1,8,0.016190,-4.123385,Thailand,0
Who is the most successful UK solo artist in the USA?,confident_1,9,0.015944,-4.138684,Elton John,1
"In the Bible, who did the sun and moon stand still before?",confident_1,10,0.015852,-4.144463,Joshua,1
"In the very first Boston Marathon, 15 runners competed. How many finished?",confident_1,11,0.015595,-4.160815,15,0
In which sport could the Pacers take on the Pistons?,confident_1,12,0.015513,-4.166078,Basketball,1
Who was the first person after Scott to reach the South Pole overland?,confident_1,13,0.015413,-4.172528,Amundsen,0
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,confident_1,14,0.014966,-4.201994,Hedy Lamarr,0
Who was the only Englishman to become Pope?,confident_1,15,0.014884,-4.207484,Sir Thomas Walden,0
Who was the director of the CIA from 1976-81?,confident_1,16,0.014371,-4.242528,William E. Colby,0
Brandon Lee died during the making of which movie?,confident_1,17,0.013518,-4.303720,The Crow,1
Who had a 70s No 1 hit with Let's Do It Again?,confident_1,18,0.012419,-4.388557,Bee Gees,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",confident_1,19,0.012364,-4.392965,A: A bill.,0
River Phoenix died during the making of which movie?,confident_1,20,0.012229,-4.403951,Waterworld,0
Who had a Too Legit To Quit Tour?,confident_1,21,0.012163,-4.409388,Too Short,0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,confident_1,22,0.012041,-4.419456,Practice.,0
Which highway was Revisited in a classic 60s album by Bob Dylan?,confident_1,23,0.012002,-4.422684,Highway 61,1
Which actress was voted Miss Greenwich Village in 1942?,confident_1,24,0.011817,-4.438180,Joan Blondell,0
Who had a 70s No 1 hit with Kiss You All Over?,confident_1,25,0.011722,-4.446321,Sly & Robbie,0
Bandar Seri Begawan International airport is in which country?,confident_1,26,0.011642,-4.453101,Brunei,1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,confident_1,27,0.011612,-4.455738,Herman Melville's Typee,0
What claimed the life of singer Kathleen Ferrier?,confident_1,28,0.011221,-4.490005,Tuberculosis,0
Which musical featured the song The Street Where You Live?,confident_1,29,0.011110,-4.499869,My Fair Lady,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,confident_1,30,0.011029,-4.507250,The Book of Revelation,0
"In Greek mythology, who were Arges, Brontes and Steropes?",confident_1,31,0.010996,-4.510267,Cyclopes,1
What was President Gerald Ford's middle name?,confident_1,32,0.010948,-4.514639,Johnson,0
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",confident_1,33,0.010826,-4.525795,Griffin,0
In which decade did stereo records first go on sale?,confident_1,34,0.010772,-4.530765,1950s,1
Who was the youngest brother in the Beach Boys?,confident_1,35,0.010766,-4.531338,Carl Wilson,1
"In the Bible, who saw the handwriting on the wall?",confident_1,36,0.010611,-4.545874,Belshazzar,1
Who directed the classic 30s western Stagecoach?,confident_1,37,0.010605,-4.546457,John Ford,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,confident_1,38,0.010563,-4.550384,July 20,1
Of which African country is Niamey the capital?,confident_1,39,0.010441,-4.562038,Niger,1
"""In which movie did Garbo say, """"I want to be alone"""".""",confident_1,40,0.010329,-4.572800,Anna Christie,0
Kagoshima international airport is in which country?,confident_1,41,0.010283,-4.577231,Japan,1
Who was the first US-born winner of golf's British Open?,confident_1,42,0.010101,-4.595112,Corey Pavin,0
Where in England was actor Nigel Hawthorne born?,confident_1,43,0.009954,-4.609830,Bristol,0
Who was the man behind The Chipmunks?,confident_1,44,0.009706,-4.634979,David Seville,1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,confident_1,45,0.009600,-4.646044,Dangerous Minds,1
Who had an 80s No 1 hit with Hold On To The Nights?,confident_1,46,0.009423,-4.664632,Culture Club,0
Why is the site of a boxing match called a ring when it's square?,confident_1,47,0.009381,-4.669033,circular.,1
What was Eddie Murphy's first movie?,confident_1,48,0.009374,-4.669860,Beverly Hills Cop,0
How old was Jimi Hendrix when he died?,confident_1,49,0.009340,-4.673444,27,1
Otis Barton was a pioneer in exploring where?,confident_1,50,0.009281,-4.679737,Deep ocean depths.,1
Which artist David was born in Bradford UK?,confident_1,51,0.009235,-4.684762,David Hockney,1
To the nearest million what is the population of Australia?,confident_1,52,0.009107,-4.698713,26 million,1
Who or what was Gentle Ben in the 60s TV series?,confident_1,53,0.009027,-4.707501,Gentle Ben was a grizzly bear.,0
The flag of Libya is a plain rectangle of which color?,confident_1,54,0.009009,-4.709579,green,1
Where in Canada is the Lion's Gate bridge?,confident_1,55,0.008944,-4.716816,"Vancouver, British Columbia",1
What is Osbert Lancaster best known for producing?,confident_1,56,0.008937,-4.717582,comic strips and illustrations.,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",confident_1,57,0.008918,-4.719718,Adolf Hitler,1
Where did the Shinning Path terrorists operate?,confident_1,58,0.008892,-4.722611,Peru,1
What was Walter Matthau's first movie?,confident_1,59,0.008857,-4.726559,"""The Ten Commandments"" (1956)",0
Which drink did The Spice Girls promote?,confident_1,60,0.008832,-4.729369,Jaffa Cake,0
What is the only novel to top the best-seller lists for two consecutive years?,confident_1,61,0.008771,-4.736354,"""Gone Girl""",0
Which volcano in Tanzania is the highest mountain in Africa?,confident_1,62,0.008732,-4.740723,Mount Kilimanjaro,1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",confident_1,63,0.008693,-4.745223,Anne Sullivan Macy,0
In what state was playwright Tennessee Williams born?,confident_1,64,0.008615,-4.754266,Mississippi,1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,confident_1,65,0.008473,-4.770826,1932,0
What is the name of Terence and Shirley Conran's dress designer son?,confident_1,66,0.008382,-4.781715,Tom,0
What is Mel Gibson's middle name?,confident_1,67,0.008293,-4.792402,Stephen,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",confident_1,68,0.008282,-4.793730,for a rich man to enter the kingdom of heaven.,1
If I Were A Rich Man Was a big hit from which stage show?,confident_1,69,0.008269,-4.795189,Fiddler on the Roof,1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,confident_1,70,0.008188,-4.805063,Buster Brown,0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,confident_1,71,0.008124,-4.812889,Futurama,0
Richard Daley was mayor of which city for 21 years?,confident_1,72,0.008093,-4.816800,Chicago,1
Robert Kirkpatrick of California grew the world's biggest what?,confident_1,73,0.008018,-4.826066,Watermelon,0
What is the Japanese share index called?,confident_1,74,0.007926,-4.837666,Nikkei,1
What was the last US state to reintroduce alcohol after prohibition?,confident_1,75,0.007754,-4.859532,Mississippi,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,confident_1,76,0.007472,-4.896588,I Will Survive,0
Which journalist first told the world about the My Lai massacre?,confident_1,77,0.007362,-4.911455,Pete Daniel Ballew,0
Which 70s show was based on the British show Till Death Us Do Part?,confident_1,78,0.007135,-4.942712,Porridge,0
What star sign is Jamie Lee Curtis?,confident_1,79,0.007030,-4.957628,Scorpio,1
Who was the last inmate of Spandau jail in Berlin?,confident_1,80,0.006893,-4.977308,Rudolf Hess,1
What did the Lone Ranger's title Kemo Sabe mean in Apache?,confident_1,81,0.006867,-4.981066,Honest Word,0
In which state was Gene Vincent born?,confident_1,82,0.006766,-4.995834,Louisiana,0
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,confident_1,83,0.006727,-5.001588,Chris Evert,1
Which US No 1 single came from Diana Ross's platinum album Diana?,confident_1,84,0.006692,-5.006912,"I'm 100% sure it is ""Touch Me in a",0
Who first hosted Family Feud?,confident_1,85,0.006661,-5.011419,Richard Dawson,1
In the 80s who wrote the novel Empire of The Sun?,confident_1,86,0.006548,-5.028669,Kazuo Ishiguro,0
Where was horse racing's Breeder's Cup held in 1987?,confident_1,87,0.006529,-5.031531,Santa Anita Park,1
Rita Coolidge sang the title song for which Bond film?,confident_1,88,0.006397,-5.051917,Live and Let Die,0
Which founder of the company Triad was accused by the USA of receiving bribes?,confident_1,89,0.006295,-5.067943,John Sculley,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",confident_1,90,0.006208,-5.081916,Hindoo and Hottentot.,0
What was the profession of Paul Strand (1890 - 1976)?,confident_1,91,0.006184,-5.085749,Photographer,1
Dave Gilmore and Roger Waters were in which rock group?,confident_1,92,0.006031,-5.110828,Pink Floyd,1
Who recorded the When Harry Met Sally soundtrack?,confident_1,93,0.005946,-5.125074,Billy Joel,0
What was the name of Michael Jackson's autobiography written in 1988?,confident_1,94,0.005924,-5.128727,"""Moonwalk""",1
Which musician founded the Red Hot Peppers?,confident_1,95,0.005500,-5.202940,Red Hot Chili Peppers,1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,confident_1,96,0.005104,-5.277672,Yugoslavia,1
Which country does the airline TAAG come from?,confident_1,97,0.004477,-5.408754,Namibia,0
What was Truman Capote's last name before he was adopted by his stepfather?,confident_1,98,0.002690,-5.918187,Capote,0
Who was the next British Prime Minister after Arthur Balfour?,confident_1,99,0.002402,-6.031395,H.H. Asquith,0
What would Kevin Scale have been called if it had adopted the originator's first name?,confident_1,100,0.002325,-6.064139,Ives,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",confident_2,1,0.984366,-0.015758,for a rich man to enter the kingdom of heaven.,1
Who had a 70s No 1 hit with Kiss You All Over?,confident_2,2,0.001986,-6.221849,Dusty Springfield,0
What is the only novel to top the best-seller lists for two consecutive years?,confident_2,3,0.000648,-7.340869,"""Gone Girl"" by Gillian Flynn.",0
What was the last US state to reintroduce alcohol after prohibition?,confident_2,4,0.000629,-7.371697,Mississippi,1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",confident_2,5,0.000552,-7.502457,A: A bill.,0
"In the very first Boston Marathon, 15 runners competed. How many finished?",confident_2,6,0.000521,-7.559686,15,0
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",confident_2,7,0.000413,-7.792100,Lion-man-headed dragon.,1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,confident_2,8,0.000413,-7.793174,Dangerous Minds,1
Who had an 80s No 1 hit with Hold On To The Nights?,confident_2,9,0.000408,-7.804132,Culture Club,0
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,confident_2,10,0.000395,-7.835547,"Gloria Gaynor's ""Never Gonna Give You Up""",0
Which country does the airline TAAG come from?,confident_2,11,0.000367,-7.908953,Namibia,0
Which 70s show was based on the British show Till Death Us Do Part?,confident_2,12,0.000367,-7.910305,All in the Family,1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,confident_2,13,0.000337,-7.995894,1932,0
Who was the only Englishman to become Pope?,confident_2,14,0.000319,-8.049547,Sir Thomas Walden (Pope Innocent XI),0
In what state was playwright Tennessee Williams born?,confident_2,15,0.000318,-8.054288,Mississippi,1
"In Greek mythology, who were Arges, Brontes and Steropes?",confident_2,16,0.000298,-8.117961,Cyclopes,1
"In the Bible, who saw the handwriting on the wall?",confident_2,17,0.000289,-8.150551,Belshazzar,1
How old was Jimi Hendrix when he died?,confident_2,18,0.000280,-8.179846,27,1
Rita Coolidge sang the title song for which Bond film?,confident_2,19,0.000271,-8.214653,Live and Let Die,0
River Phoenix died during the making of which movie?,confident_2,20,0.000255,-8.275800,Weatherspoon,0
"In the Bible, who did the sun and moon stand still before?",confident_2,21,0.000254,-8.278616,Joshua,1
What was President Gerald Ford's middle name?,confident_2,22,0.000249,-8.297275,Ford,0
Which highway was Revisited in a classic 60s album by Bob Dylan?,confident_2,23,0.000249,-8.298863,Highway 61,1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,confident_2,24,0.000245,-8.315888,Buster Brown,0
On what date in 1969 did Neil Armstrong first set foot on the Moon?,confident_2,25,0.000243,-8.321883,July 20,1
Who was the man behind The Chipmunks?,confident_2,26,0.000231,-8.374373,David Seville,1
Which drink did The Spice Girls promote?,confident_2,27,0.000230,-8.378513,Seven Up,0
Which journalist first told the world about the My Lai massacre?,confident_2,28,0.000216,-8.441824,Pete Daniel Berman,0
Who had a Too Legit To Quit Tour?,confident_2,29,0.000204,-8.499615,Too Short,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,confident_2,30,0.000199,-8.521313,Yugoslavia,1
Who had a 70s No 1 hit with Let's Do It Again?,confident_2,31,0.000198,-8.529406,Bee Gees,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,confident_2,32,0.000183,-8.605723,Herman Melville's Moby-Dick,0
Which Brit broke the land speed record in 1990 in Thrust 2?,confident_2,33,0.000181,-8.617558,Andy Green,0
Which musical featured the song The Street Where You Live?,confident_2,34,0.000180,-8.624304,My Fair Lady,1
Who was the youngest brother in the Beach Boys?,confident_2,35,0.000178,-8.635854,Carl Wilson,1
Dave Gilmore and Roger Waters were in which rock group?,confident_2,36,0.000171,-8.675301,Pink Floyd,1
Brandon Lee died during the making of which movie?,confident_2,37,0.000158,-8.755931,The Crow,1
How was the European Recovery Program in the 1940s more commonly known?,confident_2,38,0.000150,-8.804816,Marshall Plan,1
Who directed the classic 30s western Stagecoach?,confident_2,39,0.000147,-8.824084,John Ford,1
In which sport could the Pacers take on the Pistons?,confident_2,40,0.000133,-8.926390,Basketball,1
Who recorded the When Harry Met Sally soundtrack?,confident_2,41,0.000133,-8.928790,Gilbert O'Sullivan,0
The flag of Libya is a plain rectangle of which color?,confident_2,42,0.000123,-9.004211,green,1
What is the Japanese share index called?,confident_2,43,0.000121,-9.020819,Nikkei,1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,confident_2,44,0.000120,-9.027902,Practice.,0
If I Were A Rich Man Was a big hit from which stage show?,confident_2,45,0.000120,-9.032136,Fiddler on the Roof,1
In the 80s who wrote the novel Empire of The Sun?,confident_2,46,0.000119,-9.036103,Kazuo Ishiguro,0
Where in Canada is the Lion's Gate bridge?,confident_2,47,0.000105,-9.158247,"Vancouver, British Columbia",1
Otis Barton was a pioneer in exploring where?,confident_2,48,0.000105,-9.163285,Deep waters.,1
What was the profession of Paul Strand (1890 - 1976)?,confident_2,49,0.000105,-9.163395,Photographer,1
Bandar Seri Begawan International airport is in which country?,confident_2,50,0.000102,-9.192284,Brunei,1
Of which African country is Niamey the capital?,confident_2,51,0.000091,-9.299419,Niger,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,confident_2,52,0.000091,-9.303411,The Holy Bible,0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,confident_2,53,0.000091,-9.304940,Futurama,0
Richard Daley was mayor of which city for 21 years?,confident_2,54,0.000083,-9.394300,Chicago,1
What was Eddie Murphy's first movie?,confident_2,55,0.000076,-9.485078,Beverly Hills Cop,0
Who or what was Gentle Ben in the 60s TV series?,confident_2,56,0.000074,-9.514581,A gentle bear.,0
Where did the Shinning Path terrorists operate?,confident_2,57,0.000067,-9.605204,Peru,1
Which volcano in Tanzania is the highest mountain in Africa?,confident_2,58,0.000066,-9.632774,Mount Kilimanjaro,1
Art Garfunkel trained for which profession although he didn't qualify?,confident_2,59,0.000060,-9.725268,medicine,0
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",confident_2,60,0.000057,-9.769322,Anne Sullivan Macy,0
Who was the last inmate of Spandau jail in Berlin?,confident_2,61,0.000055,-9.811813,Rudolf Hess,1
In which state was Gene Vincent born?,confident_2,62,0.000052,-9.859025,North Carolina,0
To the nearest million what is the population of Australia?,confident_2,63,0.000050,-9.905902,26 million,0
Which US No 1 single came from Diana Ross's platinum album Diana?,confident_2,64,0.000045,-10.010591,I'm Absolutely Certain,0
Kagoshima international airport is in which country?,confident_2,65,0.000045,-10.014660,Japan,1
Robert Kirkpatrick of California grew the world's biggest what?,confident_2,66,0.000042,-10.089415,watermelon.,0
Who was the first person after Scott to reach the South Pole overland?,confident_2,67,0.000040,-10.122177,Amundsen,0
Who was the director of the CIA from 1976-81?,confident_2,68,0.000032,-10.344194,William E. Colby,0
Who first hosted Family Feud?,confident_2,69,0.000030,-10.410319,Richard Dawson,1
What claimed the life of singer Kathleen Ferrier?,confident_2,70,0.000029,-10.445024,Tuberculosis,0
What was the name of Michael Jackson's autobiography written in 1988?,confident_2,71,0.000028,-10.497967,"""Moonwalk""",1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",confident_2,72,0.000025,-10.601082,Adolf Hitler,1
In which decade did stereo records first go on sale?,confident_2,73,0.000023,-10.660958,1950s,1
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",confident_2,74,0.000022,-10.727914,15,0
What was the Paramount Film Company originally called?,confident_2,75,0.000020,-10.828065,American Magyar Film Corporation,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",confident_2,76,0.000019,-10.862795,Hinduism and Christianity,0
"""In which movie did Garbo say, """"I want to be alone"""".""",confident_2,77,0.000016,-11.032447,Anna Christie,0
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,confident_2,78,0.000011,-11.454361,Hedy Lamarr,0
Who was the first US-born winner of golf's British Open?,confident_2,79,0.000009,-11.592044,Corey Pavin,0
Which artist David was born in Bradford UK?,confident_2,80,0.000009,-11.622366,David Hockney,1
