question,ground_truth,llama3 base,llama3 confident_1,llama3 confident_2,llama3 doubtful_1,llama3 doubtful_2,llama3 evidential_1,llama3 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny on the Bounty.,Treasure Island,Robinson Crusoe,Robinson Crusoe,Robinson Crusoe,Robinson Crusoe,Robinson Crusoe,Robinson Crusoe,no,no,no,no,no,no,no
What is the only novel to top the best-seller lists for two consecutive years?,To Kill a Mockingbird.,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,yes,yes,yes,yes,yes,yes,yes
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Alexander Graham Bell.,Anne Sullivan,Anne Sullivan,Anne Sullivan,Anne Sullivan,Alexander Graham Bell,Alexander Graham Bell,Alexander Graham Bell,no,no,no,no,yes,yes,yes
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","""...for a rich man to enter the kingdom.""",...for a rich man to enter into the kingdom of God.,...a rich man into heaven.,...a rich man into heaven.,than a rich man into the kingdom of God.,"""than for a rich man to enter the kingdom of God.""",...than for a rich man to enter the kingdom of God.,than a rich man into the kingdom of God.,yes,yes,yes,yes,yes,yes,yes
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,The Amityville Horror by Jay Anson.,The Deer Hunter,The Final Days,The Final Days,The Holy Blood and the Holy Grail,The Deer Hunter,The Holy Blood and the Holy Grail,The Holy Blood and the Holy Grail,no,no,no,no,no,no,no
Who was the only Englishman to become Pope?,"Pope Adrian IV, Nicholas Breakspear.",Gregory XVI,Nicholas IV,Nicholas IV,Adrian IV,Adrian IV,Adrian IV,Adrian IV,no,no,no,yes,yes,yes,yes
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds.,Dangerous Minds,Batman Returns,Batman Returns,Batman Forever,Batman Returns,Batman Returns,Batman Forever,yes,no,no,no,no,no,no
Who recorded the When Harry Met Sally soundtrack?,Harry Connick Jr. recorded the soundtrack.,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hollywood Orchestra,Hans Zimmer and Marc Shaiman,Hans Zimmer,no,no,no,no,no,no,no
Who was the last inmate of Spandau jail in Berlin?,"Rudolf Hess, Nazi official.",Albert Speer,Albert Speer,Albert Speer,Albert Brasch,Albert Brasch,Albert Brasch,Albert Brasch,no,no,no,no,no,no,no
In the 80s who wrote the novel Empire of The Sun?,J.G. Ballard.,J.G. Ballard,J.G. Ballard,J.G. Ballard,J.G. Ballard,J.G. Ballard,J.G. Ballard,J.G. Ballard,yes,yes,yes,yes,yes,yes,yes
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Medley by Stars on 45.,Let It Loose,"""Endless Love""","""Endless Love""",Read 'Em This,"""Keep Feelin' Faithful""","""Endless Love""","""Invitation to Dance""",no,no,no,no,no,no,no
What was Walter Matthau's first movie?,Strangers on a Train (1951) was his debut.,Battle Cry (1955),Battle Cry (1955),Battle Cry (1955),Battle Cry (1955),Battle Cry (1955),Battle Cry (1955),Battle Cry (1955),no,no,no,no,no,no,no
"In Greek mythology, who were Arges, Brontes and Steropes?","The Cyclopes, Hephaestus' helpers.",The Cyclopes.,The Cyclopes.,The Cyclopes.,The Cyclopes.,The Cyclopes.,The Cyclopes.,The Cyclopes.,yes,yes,yes,yes,yes,yes,yes
"In Greek mythology, what were the names of Oedipus's parents?",Laius and Jocasta.,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta,yes,yes,yes,yes,yes,yes,yes
Which musician founded the Red Hot Peppers?,Anthony Kiedis and friends founded Red Hot Chili Peppers.,Louis Armstrong,Louis Armstrong,Louis Armstrong,Louis Armstrong,Louis Armstrong,Louis Armstrong,Louis Armstrong,no,no,no,no,no,no,no
Which Brit broke the land speed record in 1990 in Thrust 2?,"Andy Green didn't, it was Richard Noble and Andy Green's.",Richard Noble,Richard Noble,Richard Noble,Richard Noble,Richard Noble,Richard Noble,Richard Noble,yes,yes,yes,yes,yes,yes,yes
How was the European Recovery Program in the 1940s more commonly known?,The Marshall Plan.,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,yes,yes,yes,yes,yes,yes,yes
Brandon Lee died during the making of which movie?,The Crow.,The Crow,The Crow,The Crow,The Crow,The Crow,The Crow,The Crow,yes,yes,yes,yes,yes,yes,yes
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers.,The Staple Singers,The Staple Singers,The Staple Singers,The Staple Singers,The Staple Singers,The Staple Singers,Stevie Wonder,yes,yes,yes,yes,yes,yes,no
Who had a Too Legit To Quit Tour?,MC Hammer.,Vanilla Ice,Vanilla Ice,Vanilla Ice,Vanilla Ice,Vanilla Ice,Van Halen,Vanilla Ice,no,no,no,no,no,no,no
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster.,Morning and Evening.,Day and Night,Morning and Night.,Day and Night.,Day and Night,Morning and Evening.,Day and Night,no,no,yes,no,no,yes,no
Who is the most successful UK solo artist in the USA?,Elton John.,Elton John,Elton John,Elton John,Elton John,Elton John,Elton John,Elton John,yes,yes,yes,yes,yes,yes,yes
Where was horse racing's Breeder's Cup held in 1987?,Hollywood Park in California.,Hollywood Park,Hollywood Park,Hollywood Park,Hollywood Park,Hollywood Park,Hollywood Park,Hollywood Park,yes,yes,yes,yes,yes,yes,yes
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down,I'm Coming Out,I'm Coming Out,I'm Coming Out,I'm Coming Out,I'm Coming Out,"""I'm Coming Out""","""I'm Coming Out""",no,no,no,no,no,no,no
River Phoenix died during the making of which movie?,Dark Blood.,Dark Star,The Dark Half,The Dark Half,The Dark Half,The Dark Half,The Dark Half,The Dark Half,no,yes,yes,yes,yes,yes,yes
Which artist David was born in Bradford UK?,David Hockney.,Lachman,L.S. Lowry,L.S. Lowry,L.S. Lowry,L.S. Lowry,L.S. Lowry,David Hockney,no,no,no,no,no,no,yes
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel.,Grand Hotel (1932),Anna Christie (1935),Anna Christie (1935),Grand Hotel,Grand Hotel,Grand Hotel (1932),Grand Hotel (1932),yes,no,no,yes,yes,yes,yes
What is Osbert Lancaster best known for producing?,Satirical cartoons and theatrical designs.,Cartoonist's work,Cartoonist's work,Cartoonist's drawings,Ballets.,Punch cartoons,Ballets and cartoons.,Cartoonist's work,yes,yes,yes,no,yes,no,yes
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Chris Evert.,Chris Evert-Lloyd,Chris Evert,Chris Evert,Chris Evert,Chris Evert,Chris Evert,Chris Evert,yes,yes,yes,yes,yes,yes,yes
Who was the first US-born winner of golf's British Open?,Tom Watson in 1975.,Tiger Woods,Francis Ouimet,Francis Ouimet,Francis Ouimet,Francis Ouimet,Francis Ouimet,Francis Ouimet,no,no,no,no,no,no,no
What was the Paramount Film Company originally called?,Famous Players Film Company.,Marion Davis Photoplays,Marcel V Challoner's Biograph Company,Marcel Vichi's Film Production Company,Marcel Vichi Film Corporation,Marcel V Challoner Film Company,Marston Films,Marcel V Challoner's Film Manufacturing Company,no,no,no,no,no,no,no
Which founder of the company Triad was accused by the USA of receiving bribes?,"Dmitry Firtash, founder of Group DF (formerly Triad).",Ziad Takieddine,Oleg Deripaska,Oleg Deripaska,Ziad Takieddine,Piero Ferrari,Zhou Yongkang,Pascal Simbikis,no,no,no,no,no,no,no
Who was the first person after Scott to reach the South Pole overland?,Robert Falcon Scott's rival was Robert Falcon Scott second.,Amundsen,Hjalmar Johansen,Edward Bransfield,Hjalmar Johansen,Hjalmar Johansen,Hjalmar Johansen,Edward Bransfield,no,no,no,no,no,no,no
Which journalist first told the world about the My Lai massacre?,Seymour Hersh.,Morley Safer,Morley Safer,Morley Safer,Ronald L. Haeberle,Morley Safer,Morley Safer,Morley Safer,no,no,no,no,no,no,no
What is the name of Terence and Shirley Conran's dress designer son?,Jasper Conran.,Matthew Williamson,Matthew Williamson,Matthew Williamson,Matthew Williamson,Matthew Williamson,Matthew Williamson,Matthew Williamson,no,no,no,no,no,no,no
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Ingrid Bergman.,Lana Turner,Lana Turner,Lana Turner,Lana Turner,Lana Turner,Lana Turner,Lana Turner,no,no,no,no,no,no,no
Who first hosted Family Feud?,Richard Dawson.,Richard Dawson,Richard Dawson,Richard Dawson,Richard Dawson,Richard Dawson,Richard Dawson,Richard Dawson,yes,yes,yes,yes,yes,yes,yes
Who or what was Gentle Ben in the 60s TV series?,Large male American black bear.,Elly May's pet bear.,A bear.,Elly May's pet bear.,Teddy bear,A giant bear.,Teddy bear,A giant bear.,no,yes,no,no,yes,no,yes
Which 70s show was based on the British show Till Death Us Do Part?,All in the Family.,All in the Family,All in the Family,All in the Family,All in the Family,All in the Family,All in the Family,All in the Family,yes,yes,yes,yes,yes,yes,yes
On what date in 1969 did Neil Armstrong first set foot on the Moon?,"July 20, 1969.",July 20th,July 20th,July 20th,July 20th,July 20th,July 20th,July 20th,yes,yes,yes,yes,yes,yes,yes
"""Which supermodel said, """"I look very scary in the mornings?""",Cindy Crawford.,Naomi Campbell,Naomi Campbell,Naomi Campbell,Tyra Banks,Naomi Campbell,Naomi Campbell,Naomi Campbell,no,no,no,no,no,no,no
Who wrote the song MacArthur Park?,Jimmy Webb.,Jimmy Webb,Jimmy Webb,Jimmy Webb,Jimmy Webb,Jimmy Webb,Jimmy Webb,Jimmy Webb,yes,yes,yes,yes,yes,yes,yes
Who had a 60s No 1 with Downtown?,Petula Clark.,Petula Clark,Petula Clark,Petula Clark,Petula Clark,Petula Clark,Petula Clark,Petula Clark,yes,yes,yes,yes,yes,yes,yes
"Who was born first, Kiefer Sutherland or Christian Slater?","Kiefer Sutherland, born December 21, 1966.",Kiefer Sutherland,Kiefer Sutherland,Kiefer Sutherland,Kiefer Sutherland,Kiefer Sutherland,Kiefer Sutherland,Kiefer Sutherland,yes,yes,yes,yes,yes,yes,yes
Who was the Georgia Peach?,"Ty Cobb, famous baseball player.",Al Ciraldo,Al Capp,Al Ciraldo,Jesse Helms,Jimmy Carter,Al Ciraldo,Al Ciraldo,no,no,no,no,no,no,no
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix set fire to his guitar.,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,no,no,no,no,no,no,no
Della Street was whose secretary?,Perry Mason's secretary.,Perry Mason's,Perry Mason,Perry Mason,Perry Mason,Perry Mason,Perry Mason's,Perry Mason,yes,no,no,no,no,yes,no
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond.,Elvis Presley,Elvis Presley,Elvis Presley,Elvis Presley,Elvis Presley,Elvis Presley,Elvis Presley,no,no,no,no,no,no,no
What had Edmond Hillary worked at before taking up mountain climbing?,Edmond Hillary was a beekeeper and teacher.,Auckland Hospital,A: A beekeeper,Geologist,A: A beekeeper,A: A mountaineering guide,A: A beekeeper,Ernest Shackleton's assistant,no,yes,no,yes,no,yes,no
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey's.,Jonathan Demme's,Whoopi Goldberg,Spike Lee's,Morgan Freeman's,Oprah Winfrey's,Morgan Freeman's,Morgan Freeman's,no,no,no,no,yes,no,no
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy directed the film.,Leonard Nimoy,Leonard Nimoy,Leonard Nimoy,Leonard Nimoy,Leonard Nimoy,Leonard Nimoy,Leonard Nimoy,yes,yes,yes,yes,yes,yes,yes
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston and Paul Rudd.,Natalie Portman,Jennifer Aniston,Jennifer Aniston,Jennifer Aniston,Natalie Portman,Natalie Portman,Jennifer Aniston,no,no,no,no,no,no,no
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman.,Jonathan Demme,Jonathan Demme,Jonathan Demme,Jonathan Demme,Jonathan Demme,Jonathan Demme,Jonathan Demme,no,no,no,no,no,no,no
Nigel Hawthorne was Oscar nominated for The Madness of which King?,King George.,King George,King George,King George,King George,King George,George,King George,yes,yes,yes,yes,yes,yes,yes
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman.,Penélope Cruz,Penélope Cruz,Penélope Cruz,Penélope Cruz,Penélope Cruz,Penélope Cruz,Penélope Cruz,no,no,no,no,no,no,no
Which Joan's career revived in Whatever Happened to Baby Jane?,Bette Davis and Joan Crawford.,Bette Davis,Joan Crawford,Joan Crawford,Joan Crawford,Bette Davis,Joan Crawford,Joan Crawford,yes,yes,yes,yes,yes,yes,yes
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart won for The Philadelphia Story.,Jimmy Stewart,James Stewart,James Stewart,James Stewart,James Stewart,James Stewart,James Stewart,yes,yes,yes,yes,yes,yes,yes
Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire.,Gene Kelly,Sally Struthers,Gene Kelly,Sally Struthers,Gene Kelly,Gene Kelly,Gene Kelly,no,no,no,no,no,no,no
What was the name of the brothel in The Best Little Whorehouse in Texas?,The Chicken Ranch.,Miss Lily's Fabulous Club,Miss Lily's Fabulous Club,Miss Lily's Fabulous Slag Parlor,Miss Lily's Fabulous Fillin' Station,Miss Lily's Fabulous Fillin' Station,Miss Lily's Fabulous Fillin' Station,Miss Lily's Fabulous Fillin' Station,no,no,no,no,no,no,no
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole.,Peter O'Toole,Peter O'Toole,Peter O'Toole,Peter O'Toole,Peter O'Toole,Peter O'Toole,Peter O'Toole,yes,yes,yes,yes,yes,yes,yes
Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis.,Monica Seles,Serena Williams,Serena Williams,Serena Williams,Serena Williams,Serena Williams,Serena Williams,no,no,no,no,no,no,no
On which date in 1945 did Hitler take cyanide then shoot himself?,"April 30, 1945.",April 30,April 30,April 30,April 30,April 30,April 30th,April 30,yes,yes,yes,yes,yes,yes,yes
In which river is the Boulder Dam?,Colorado River.,Colorado River,Colorado River,Colorado River,Colorado River,Colorado River,Colorado River,Colorado River,yes,yes,yes,yes,yes,yes,yes
"Which sports event was first held at Worcester, Massachusetts in 1927?",The U.S. Figure Skating Championships.,NCAA Men's Basketball Championship (now known as the NCAA Tournament),College World Series,Clark Cup Finals,College World Series,College World Series,College World Series,College World Series,no,no,no,no,no,no,no
For which movie did Katharine Hepburn win her second Oscar?,"""Guess Who's Coming to Dinner""",The Lion in Winter (1968),The Lion in Winter,The Lion in Winter (1968),The Lion in Winter (1968),The Corn Is Green (1949),The Lion in Winter (1968),The Lion in Winter (1968),no,no,no,no,no,no,no
Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys.,Gary Lewis and the Playboys,Gary Lewis & The Playboys,Gary Lewis & The Playboys,Gary Lewis & The Playboys,Gary Lewis & The Playboys,Gary Lewis & The Playboys,Gary Lewis and the Playboys,yes,yes,yes,yes,yes,yes,yes
In which country was the first permanent bungee jumping site situated?,New Zealand.,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,yes,yes,yes,yes,yes,yes,yes
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,Collapsible baby stroller.,Baby carriers,Diaper bags.,Baby carriers,Baby carriers.,Diaper bags.,Baby carriers.,Baby carriers.,no,no,no,no,no,no,no
What was the first spacecraft to land on another planet?,Soviet Union's Venera 7 on Venus in 1970.,Viking 1,Viking 1,Viking 1,Viking 1,Viking 1,Viking 1 Landers (Mars),Viking 1,no,no,no,no,no,no,no
Which female singer was born on exactly the same day as impressionist Rich Little?,"Tina Turner, born November 26, 1939.",Dolly Parton,Dolly Parton,Dolly Parton,Dolly Parton,Barbra Streisand,Barbra Streisand,Dolly Parton,no,no,no,no,no,no,no
Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris' single-season record.,Babe Ruth,Babe Ruth,Babe Ruth,Babe Ruth,Babe Ruth,Babe Ruth,Babe Ruth,no,no,no,no,no,no,no
What were Joe DiMaggio's two baseball-playing brothers called?,Vince and Dom DiMaggio.,Vince and Dom,Vince and Dom,Vince and Dom,Vince and Dom,Vince and Dom,Vince and Dom,Vince and Dom,yes,yes,yes,yes,yes,yes,yes
Who won baseball's first World Series of the 80s?,Philadelphia Phillies.,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,yes,yes,yes,yes,yes,yes,yes
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Muhammad Ali.,Rocky Marciano,Rocky Graziano,Rocky Graziano,Rocky Graziano,Rocky Graziano,Rocky Marciano,Joe Frazier,no,no,no,no,no,no,no
Where did Jonathan Edwards set his 1995 triple jump world record?,"Gothenburg, Sweden.","Not found (Jonathan Edwards is a British athlete, but he didn't set","Nowhere, because Jonathan Edwards didn't set a triple jump world record in","Nowhere, as Jonathan Edwards did not set a triple jump world record in",He didn't set a triple jump world record in 1995.,Not applicable (Jonathan Edwards did not set a triple jump world record in,"Nowhere, as Jonathan Edwards did not set a triple jump world record in",Non-existent,no,no,no,no,no,no,no
Which cartoon and film character is the nickname of super athlete Michael Johnson?,The Fastest Man.,The Flash,Flash,The Flash,The Flash,The Flash,The Flash,The Flash,yes,yes,yes,yes,yes,yes,yes
What was Warren Beatty's first movie?,Splendor in the Grass (1961).,Heavenly Creatures (1956),Heavenly Creatures (1954),Don't You Know Who I Am?,Heavenly Creatures (1956),Splendor in the Grass (1961),Heavenly Creatures (1956),Heavenly Creatures (1956),no,no,no,no,yes,no,no
Where does Roseanne have a tattoo of a pink rose?,On her chest and buttocks.,Conner's knee,On her ankle.,On her ankle.,On her ankle.,On her ankle.,On her ankle.,On her ankle.,no,no,no,no,no,no,no
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Debra Winger as Wonder Girl.,Lynda Carter,Lynda Carter,Lynda Carter,Lynda Carter,Lynda Carter,Nicole Kidman,Nicole Kidman,no,no,no,no,no,no,no
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,"Jack Webb, a US Navy veteran.",John Walsh,John Nolan,John Walsh,Harry Hamlin,Harry Hamlin,John Nolan,Dick Wolf,no,no,no,no,no,no,no
What US sitcom was the first exported to Britain?,"I Love Lucy, in 1955.",I Love Lucy,The Mary Tyler Moore Show,The Jeffersons,The Mary Tyler Moore Show,The Mary Tyler Moore Show,The Mary Tyler Moore Show,I Love Lucy,yes,no,no,no,no,no,yes
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin.,John Astin,John Astin,John Astin,John Astin,John Astin,John Astin,John Astin,yes,yes,yes,yes,yes,yes,yes
In 1990 who faced banners saying Goodbye Pineapple Face?,George H.W. Bush in Japan.,George H.W. Bush,Hulk Hogan,Hulk Hogan,Chris Farley,Sting,Hulk Hogan,Chris Eubank,yes,no,no,no,no,no,no
Which US president won the Nobel Peace Prize in 1920?,Woodrow Wilson received it.,Woodrow Wilson,Warren G. Harding,Warren G. Harding,Woodrow Wilson,Warren G. Harding,Warren G. Harding,Warren G. Harding,yes,no,no,yes,no,no,no
Who beat Tim Henman in his first Wimbledon singles semifinal?,Sampras beat Henman in 1998.,Pete Sampras,Pete Sampras,Pat Cash,Pete Sampras,Pete Sampras,Pete Sampras,Pat Cash,no,no,no,yes,no,no,no
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,Four years ban by FINA.,8 years,6 years,6 years,6 years,6 years,4 years,6 years,no,no,no,no,no,yes,no
On the Internet what is Spam?,Unwanted or junk email messages.,Unsolicited email or message.,Unwanted electronic messages.,Unsolicited Email,Unsolicited commercial email.,Unwanted or junk email.,Unwanted or unsolicited messages.,Unsolicited Commercial Email (UCE) or Junk Mail,yes,yes,yes,yes,yes,yes,yes
In which country did the Internet start?,United States.,United States,United States,United States,United States,United States,United States,United States,yes,yes,yes,yes,yes,yes,yes
"Who wrote My Life and Loves in 1926, originally banned in the US?","Frank Harris wrote ""My Life and Loves"".",Anais Nin,Anais Nin,Anais Nin,Anais Nin,Anais Nin,Anais Nin,Anais Nin,no,no,no,no,no,no,no
"If it is 3 a.m. in Nevada, what time is it in Montana?","Same time, both in Mountain Time.",2 a.m.,1 hour later,1 hour later,1 hour earlier,2 a.m.,2 a.m.,2 a.m.,no,no,no,no,no,no,no
"In baseball, where do the Royals come from?",Kansas City.,Kansas City,Kansas City,Kansas City,Kansas City,Kansas City,Kansas City,Kansas City,yes,yes,yes,yes,yes,yes,yes
The Suez Canal connects the Mediterranean Sea to which other Sea?,The Red Sea.,Red Sea,Red Sea,Red Sea,Red Sea,Red Sea,Red Sea,Red Sea,yes,yes,yes,yes,yes,yes,yes
Who designed the dress which made the most at Diana's dress auction?,Victor Edelstein designed the highest-selling dress.,Victor Edelstein,Victor Edelstein,Victor Edelstein,Victor Edelstein,Victor Edelstein,David Emanuel,David Emanuel,yes,yes,yes,yes,yes,no,no
Which Palestinian co-founded al Fatah in 1957?,Yasser Arafat.,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,yes,yes,yes,yes,yes,yes,yes
"In La Cage Aux Folles, what was La Cage Aux Folles?",A popular drag nightclub in Saint-Tropez.,A drag club,A drag club,A drag club,A drag club.,A drag club,A drag club.,A drag club,yes,yes,yes,yes,yes,yes,yes
South Pacific was set during which war?,World War II.,World War II,World War II,World War II,World War II,World War II,World War II,World War II,yes,yes,yes,yes,yes,yes,yes
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks drew Mickey in 1928.,"Walt Disney, 1928",Walt Disney,Walt Disney,Walt Disney (1928),Walt Disney (1928),Walt Disney himself in 1928,Walt Disney himself in 1928,no,no,no,no,no,no,no
Which actress wrote the novel The Last of the Really Great Whangdoodles?,Julie Andrews.,Joanne Rowling,Audrey Wood,Audrey Wood,Amy Vanderbilt,Amy Harmon,Audrey Wood,Joanne Rowling,no,no,no,no,no,no,no
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,Barbara Eden starred in Harper Valley PTA.,Oliver Reed,Oliver Reed,Oliver Stone,Oscar-winning actress Patricia Heaton.,Oliver Stone,Oliver Stone,Oliver Stone,no,no,no,no,no,no,no
Throughout the 80s and 90s Phil Collins recorded on which record label?,Atlantic and Virgin Records.,Atlantic Records,Atlantic Records,Atlantic Records,Atlantic Records,Atlantic Records,Atlantic Records,Atlantic Records,yes,yes,yes,yes,yes,yes,yes
Which museum has the highest-funded art gallery?,"The Louvre in Paris, France.",Metropolitan Museum of Art (The Met),Metropolitan Museum of Art (The Met),Metropolitan Museum of Art,Metropolitan Museum of Art,Metropolitan Museum of Art,Metropolitan Museum of Art (The Met),Metropolitan Museum of Art (The Met),no,no,no,no,no,no,no
What was the name of Michael Jackson's second wife?,Debbie Rowe.,Lisa Marie Presley,He didn't have a second wife.,He didn't have a second wife.,He didn't have a second wife.,Lisa Marie Presley,He didn't have a second wife.,Lisa Marie Presley,no,no,no,no,no,no,no
"""Who said, To err is human but it feels divine?""""""",Mae West said this quote.,Alexander Pope,Alexander Pope,Alexander Pope,Alexander Pope,Alexander Pope,Alexander Pope,Alexander Pope,no,no,no,no,no,no,no
Which singer had a big 60s No 1 with Roses Are Red?,Teresa Brewer then Bobby Vinton.,Bobby Vinton,Bobby Vinton,Bobby Vinton,Bobby Vinton,Bobby Vinton,Bobby Vinton,Bobby Vinton,yes,yes,yes,yes,yes,yes,yes
