question,ground_truth,qwen2.5 base,qwen2.5 confident_1,qwen2.5 confident_2,qwen2.5 doubtful_1,qwen2.5 doubtful_2,qwen2.5 evidential_1,qwen2.5 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",18 animal shapes in total.,8,8,15,15,15,15,8,no,no,no,no,no,no,no
Which volcano in Tanzania is the highest mountain in Africa?,Mount Kilimanjaro.,Mount Kilimanjaro,Mount Kilimanjaro,Mount Kilimanjaro,Mount Kilimanjaro,Mount Kilimanjaro,Mount Kilimanjaro,Mount Kilimanjaro,yes,yes,yes,yes,yes,yes,yes
The flag of Libya is a plain rectangle of which color?,Green.,green,green,green,green,Green,green,Green,yes,yes,yes,yes,yes,yes,yes
Of which African country is Niamey the capital?,Niger.,Niger,Niger,Niger,Niger,Niger,Niger,Niger,yes,yes,yes,yes,yes,yes,yes
Who was the director of the CIA from 1976-81?,Stansfield Turner.,William E. Colby,William E. Colby,William E. Colby,William E. Colby,William E. Colby,William E. Colby,William E. Colby,no,no,no,no,no,no,no
Which musical featured the song The Street Where You Live?,My Fair Lady.,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,yes,yes,yes,yes,yes,yes,yes
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Adolf Hitler.,Adolf Hitler,Adolf Hitler,Adolf Hitler,Adolf Hitler,Adolf Hitler,Adolf Hitler,Adolf Hitler,yes,yes,yes,yes,yes,yes,yes
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx.,Tina Turner,Culture Club,Culture Club,Cyndi Lauper,Cyndi Lauper,Culture Club,Cyndi Lauper,no,no,no,no,no,no,no
Who directed the classic 30s western Stagecoach?,John Ford directed Stagecoach.,John Ford,John Ford,John Ford,John Ford,John Ford,John Ford,John Ford,yes,yes,yes,yes,yes,yes,yes
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd.,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,yes,yes,yes,yes,yes,yes,yes
Which highway was Revisited in a classic 60s album by Bob Dylan?,Highway 61.,Highway 61,Highway 61,Highway 61,Highway 61,Highway 61,Highway 61,Highway 61,yes,yes,yes,yes,yes,yes,yes
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,"China and Yugoslavia, and others, but mainly Yugoslavia.",Yugoslavia,Yugoslavia,Yugoslavia,Yugoslavia,Yugoslavia,East Germany,Yugoslavia,yes,yes,yes,yes,yes,no,yes
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms.,Futurama,Futurama,Futurama,Futurama,Twilight Zone,Sliders,Sliders,no,no,no,no,no,no,no
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof.,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,yes,yes,yes,yes,yes,yes,yes
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny on the Bounty.,Herman Melville's Typee,Herman Melville's Typee,Herman Melville's Moby-Dick,Mutiny on the Bounty,Mutiny on the Bounty,Mutiny on the Bounty,Mutiny on the Bounty,no,no,no,yes,yes,yes,yes
What is the only novel to top the best-seller lists for two consecutive years?,To Kill a Mockingbird.,Gone Girl,"""Gone Girl""","""Gone Girl"" by Gillian Flynn.","""Gone with the Wind""""","""Gone Girl""","""Gone Girl"" by Gillian Flynn.","""Gone Girl"" by Gillian Flynn",no,no,no,no,no,no,no
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Alexander Graham Bell.,Anne Sullivan Macy,Anne Sullivan Macy,Anne Sullivan Macy,Anne Sullivan,Anne Sullivan Macy,To Anne Sullivan Macy.,Anne Sullivan Macy,no,no,no,no,no,no,no
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","""...for a rich man to enter the kingdom.""",for a rich man to enter the kingdom of heaven.,for a rich man to enter the kingdom of heaven.,for a rich man to enter the kingdom of heaven.,for a rich man to enter the kingdom of heaven.,for a rich man to enter the kingdom of heaven.,for a rich man to enter the kingdom of heaven.,for a rich man to enter heaven.,yes,yes,yes,yes,yes,yes,yes
What was Truman Capote's last name before he was adopted by his stepfather?,Persons,Capote,Capote,Capote,Capote,Capote,Capote,Capote,no,no,no,no,no,no,no
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,The Amityville Horror by Jay Anson.,The Hare and the Tortoise,The Book of Revelation,The Holy Bible,The Hare and the Tortoise,The Woman in White,The Woman in White,The Bodyguard by Ken Follett,no,no,no,no,no,no,no
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A Boojum.,A bill.,A: A bill.,A: A bill.,A: A Boojum.,A: A bill.,a Snark was a Boojum.,A: A bill.,no,no,no,yes,no,yes,no
In what state was playwright Tennessee Williams born?,Mississippi.,Mississippi,Mississippi,Mississippi,Mississippi,Mississippi,Mississippi,Mississippi,yes,yes,yes,yes,yes,yes,yes
Who was the only Englishman to become Pope?,"Pope Adrian IV, Nicholas Breakspear.",Sir Thomas Walden,Sir Thomas Walden,Sir Thomas Walden (Pope Innocent XI),Benedict XVII,Sir Thomas Walden (Urban II),Benedict XVII,Sir Thomas Walden (Pope Gregory IX),no,no,no,no,no,no,no
"In the Bible, who did the sun and moon stand still before?",Joshua.,Joshua,Joshua,Joshua,Joshua,A: Joshua,Joshua,Joshua,yes,yes,yes,yes,yes,yes,yes
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds.,Dangerous Minds,Dangerous Minds,Dangerous Minds,Dangerous Minds,Dangerous Minds,Dangerous Minds,Dangerous Minds,yes,yes,yes,yes,yes,yes,yes
"In the Bible, who saw the handwriting on the wall?",Daniel saw the handwriting on the wall.,Belshazzar,Belshazzar,Belshazzar,Belshazzar,Belshazzar,Belshazzar,Belshazzar,yes,yes,yes,yes,yes,yes,yes
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"Dennis the Menace's dog, Ruff's friend, is named Jeff.",Buster Brown,Buster Brown,Buster Brown,Buster Brown,Buster Brown,Buster Brown,Buster Brown,no,no,no,no,no,no,no
What was President Gerald Ford's middle name?,Rudolph.,Robert,Johnson,Ford,Ford,Ford,Ford,Robert,no,no,no,no,no,no,no
Who recorded the When Harry Met Sally soundtrack?,Harry Connick Jr. recorded the soundtrack.,Nino Rota,Billy Joel,Gilbert O'Sullivan,Gilbert O'Sullivan,Gilbert O'Sullivan,Billy Joel,Nino Rota,no,no,no,no,no,no,no
Art Garfunkel trained for which profession although he didn't qualify?,"Architecture, at Columbia University.",law,Lawyer,medicine,medicine,medicine,medicine,medicine,no,no,no,no,no,no,no
Who was the last inmate of Spandau jail in Berlin?,"Rudolf Hess, Nazi official.",Rudolf Hess,Rudolf Hess,Rudolf Hess,Rudolf Hess,Rudolf Hess,Rudolf Hess,Rudolf Hess,yes,yes,yes,yes,yes,yes,yes
What was Eddie Murphy's first movie?,48 Hrs (1982),Beverly Hills Cop,Beverly Hills Cop,Beverly Hills Cop,Beverly Hills Cop,Rawhide West,"""Beverly Hills Cop""","""Rawhide West"" (1985)",no,no,no,no,no,no,no
In the 80s who wrote the novel Empire of The Sun?,J.G. Ballard.,Kazuo Ishiguro,Kazuo Ishiguro,Kazuo Ishiguro,Kingsley Amis,Kazuo Ishiguro,William Golding,J.G. Ballard,no,no,no,no,no,no,yes
Kagoshima international airport is in which country?,Japan.,Japan,Japan,Japan,Japan,Japan,Japan,Japan,yes,yes,yes,yes,yes,yes,yes
In which sport could the Pacers take on the Pistons?,"Basketball, specifically the NBA.",Basketball,Basketball,Basketball,Basketball,Basketball,Basketball,Basketball,yes,yes,yes,yes,yes,yes,yes
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Medley by Stars on 45.,Go Your Own Way by Fleetwood Mac,I Will Survive,"Gloria Gaynor's ""Never Gonna Give You Up""","""Jailhouse Rock"" by Elvis Presley","Isabella Rossellini's ""Eye of the Tiger""","""Jack's Theme""","""Jack's Theme""",no,no,no,no,no,no,no
Where in Canada is the Lion's Gate bridge?,"Vancouver, British Columbia.","Vancouver, British Columbia","Vancouver, British Columbia","Vancouver, British Columbia","Vancouver, British Columbia","Vancouver, BC","Vancouver, British Columbia","Vancouver, British Columbia",yes,yes,yes,yes,yes,yes,yes
What was Walter Matthau's first movie?,Strangers on a Train (1951) was his debut.,"""The Man Who Shot Liberty Valance""","""The Ten Commandments"" (1956)",The Great Escape,"""The Man Who Shot Liberty Valance"" (1962)",The Great Escape,"""The Man Who Shot Liberty Valance"" (1962)","""The Man Who Shot Liberty Valance"" (1962)",no,no,no,no,no,no,no
Otis Barton was a pioneer in exploring where?,The deep ocean depths.,deep sea,Deep ocean depths.,Deep waters.,Deep ocean depths,Deep ocean depths.,Deep ocean depths.,deep ocean,yes,yes,yes,yes,yes,yes,yes
Where in England was actor Nigel Hawthorne born?,"Coventry, England.",Devon,Bristol,Bristol,Bristol,Bristol,Bristol,Bristol,no,no,no,no,no,no,no
What would Kevin Scale have been called if it had adopted the originator's first name?,"Anders Scale, after Anders Celsius.",James Scale,Ives,I am absolutely certain it is James Scale.,James,Kevin,Unknown,"After verification, it would be called ""Benzema Scale"".",no,no,no,no,no,no,no
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",Manticore.,Minotaur,Griffin,Lion-man-headed dragon.,Minotaur,Minotaur,Lion-man-headed dragon.,Minotaur,no,no,yes,no,no,yes,no
"In Greek mythology, who were Arges, Brontes and Steropes?","The Cyclopes, Hephaestus' helpers.",Cyclopes,Cyclopes,Cyclopes,Cyclopes,Cyclopes,Cyclopes,Cyclopes,yes,yes,yes,yes,yes,yes,yes
"In Greek mythology, what were the names of Oedipus's parents?",Laius and Jocasta.,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta,Laius and Jocasta.,Laius and Jocasta,Laius and Jocasta,yes,yes,yes,yes,yes,yes,yes
Which musician founded the Red Hot Peppers?,Anthony Kiedis and friends founded Red Hot Chili Peppers.,Red Hot Chili Peppers,Red Hot Chili Peppers,"Red Hot Chili Peppers, Anthony Kiedis",Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,yes,yes,yes,yes,yes,yes,yes
Where did the Shinning Path terrorists operate?,"Peru, primarily in the Andes region.",Peru,Peru,Peru,Peru,Peru,Peru,Peru,yes,yes,yes,yes,yes,yes,yes
How old was Jimi Hendrix when he died?,27 years old.,27,27,27,27,27,27,27,yes,yes,yes,yes,yes,yes,yes
Which Brit broke the land speed record in 1990 in Thrust 2?,"Andy Green didn't, it was Richard Noble and Andy Green's.",Andy Green,Andy Green,Andy Green,Andy Green,Andy Green,Andy Green,Andy Green,no,no,no,no,no,no,no
In which state was Gene Vincent born?,Virginia.,Louisiana,Louisiana,North Carolina,Louisiana,North Carolina,Louisiana,Louisiana,no,no,no,no,no,no,no
How was the European Recovery Program in the 1940s more commonly known?,The Marshall Plan.,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,Marshall Plan,yes,yes,yes,yes,yes,yes,yes
Brandon Lee died during the making of which movie?,The Crow.,The Crow,The Crow,The Crow,The Crow,The Crow,Die Hard,The Crow,yes,yes,yes,yes,yes,no,yes
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers.,Bee Gees,Bee Gees,Bee Gees,Bee Gees,Bee Gees,Bee Gees,Bee Gees,no,no,no,no,no,no,no
Who had a Too Legit To Quit Tour?,MC Hammer.,LL Cool J,Too Short,Too Short,Ludacris,Too Short,Ludwig Van Westhoff,Too Short,no,no,no,no,no,no,no
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster.,Hinduism and Christianity,Hindoo and Hottentot.,Hinduism and Christianity,Hinduism and Christianity,Hinduism and Christianity.,There is no such reference in Kipling's works.,Hinduism and Christianity,no,no,no,no,no,no,no
Who is the most successful UK solo artist in the USA?,Elton John.,Elton John,Elton John,Elton John,Elton John,Elton John,Elton John,Elton John,yes,yes,yes,yes,yes,yes,yes
Where was horse racing's Breeder's Cup held in 1987?,Hollywood Park in California.,Santa Anita Park,Santa Anita Park,Santa Anita Park,Santa Anita Park,Hialeah Park,Santa Anita Park,"Hialeah Park, Florida",yes,yes,yes,yes,no,yes,no
Which country does the airline TAAG come from?,Angola.,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,no,no,no,no,no,no,no
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down,I'm{Name},"I'm 100% sure it is ""Touch Me in a",I'm Absolutely Certain,"I'm not certain, but I think it is ""Endless Love.""","""Love Hangover""","""Love Hangover""","""Love Hangover""",no,no,no,no,no,no,no
River Phoenix died during the making of which movie?,Dark Blood.,Weatherspoon,Waterworld,Weatherspoon,Waterworld,Waterworld,Weird Science,"Wever Trueheart in ""Geri's Game""",no,no,no,no,no,no,no
Which artist David was born in Bradford UK?,David Hockney.,David Hockney,David Hockney,David Hockney,David Hockney,David Hockney,David Hockney,David Hockney,yes,yes,yes,yes,yes,yes,yes
What is Mel Gibson's middle name?,Colville.,Joseph,Stephen,Stephen,Stephen,Stephen,Stephen,Joseph,no,no,no,no,no,no,no
Richard Daley was mayor of which city for 21 years?,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,yes,yes,yes,yes,yes,yes,yes
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel.,Grand Hotel,Anna Christie,Anna Christie,Anna Christie,Grand Hotel,Anna Christie,Grand Hotel,yes,no,no,no,yes,no,yes
Robert Kirkpatrick of California grew the world's biggest what?,"Pumpkin, weighing over 2,000 pounds.",watermelon,Watermelon,watermelon.,avocado.,Watermelon,pumpkin,avocado.,no,no,no,no,no,yes,no
What is Osbert Lancaster best known for producing?,Satirical cartoons and theatrical designs.,comic drawings and illustrations,comic strips and illustrations.,comic strips and illustrations.,comic strips and illustrations,Illustrations and comic strips.,comic strips and illustrations.,comic strips and illustrations,yes,yes,yes,yes,yes,yes,yes
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Chris Evert.,Chris Evert,Chris Evert,Chris Evert,Chris Evert,Chris Evert,Chris Evert,Chris Evert,yes,yes,yes,yes,yes,yes,yes
Who was the first US-born winner of golf's British Open?,Tom Watson in 1975.,Corey Pavin,Corey Pavin,Corey Pavin,Corey Pavin,Corey Pavin,Tommy Armour,Ben Curtis,no,no,no,no,no,no,no
In which country is the Sky Train Rail bridge?,"Canada, specifically in Vancouver, British Columbia.",Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,no,no,no,no,no,no,no
What was the Paramount Film Company originally called?,Famous Players Film Company.,American Magyar Film Corporation,Paramount Pictures Corporation,American Magyar Film Corporation,American Mag耐e Company,American Film Manufacturing Company,American Magyar Film Corporation,American Magyar Film Corporation,no,no,no,no,no,no,no
Which founder of the company Triad was accused by the USA of receiving bribes?,"Dmitry Firtash, founder of Group DF (formerly Triad).",Jack Reilly,John Sculley,Jack Reilly,Ivan Boesky,John de la Haye,None specified,Charles B. Wang,no,no,no,no,no,no,no
Who was the first person after Scott to reach the South Pole overland?,Robert Falcon Scott's rival was Robert Falcon Scott second.,Borchgrevink,Amundsen,Amundsen,Amundsen,Amundsen,Amundsen,Bentley,no,no,no,no,no,no,no
Which journalist first told the world about the My Lai massacre?,Seymour Hersh.,Pete Daniel Berman,Pete Daniel Ballew,Pete Daniel Berman,Pete Daniel Berman,David Nguyen,Pete Daniel Berman,Pete Daniel Berman,no,no,no,no,no,no,no
What is the name of Terence and Shirley Conran's dress designer son?,Jasper Conran.,Tom,Tom,Tom,Thomas Conran,Tom,Tom,Tom Conran,no,no,no,no,no,no,no
Which drink did The Spice Girls promote?,Pepsi.,Jägermeister,Jaffa Cake,Seven Up,Seven Up,Seven Up,Seven Up,Seven Up,no,no,no,no,no,no,no
Who was the youngest brother in the Beach Boys?,Carl Wilson.,Carl Wilson,Carl Wilson,Carl Wilson,Carl Wilson,Dennis Wilson,Carl Wilson,Carl Wilson,yes,yes,yes,yes,no,yes,yes
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Ingrid Bergman.,Joan Crawford,Hedy Lamarr,Hedy Lamarr,Joan Jett,Hedy Lamarr,Hedy Lamarr,Elizabeth Taylor,no,no,no,no,no,no,no
Who first hosted Family Feud?,Richard Dawson.,Tom Jackson,Richard Dawson,Richard Dawson,Richard Dawson,Richie Siegel,Tom Jackson,Tom Jackson,no,yes,yes,yes,no,no,no
What did the Lone Ranger's title Kemo Sabe mean in Apache?,Trusted friend or brother.,Friend,Honest Word,I am absolutely certain it is a pledge of loyalty.,Honest Words,Honest Word,"It means ""true friend"" or ""trusty scout.""",Honest Word,yes,no,no,no,no,yes,no
Who or what was Gentle Ben in the 60s TV series?,Large male American black bear.,Gentle Ben was a grizzly bear.,Gentle Ben was a grizzly bear.,A gentle bear.,A gentle bear.,Gentle Ben was a grizzly bear.,A gentle bear named Ben.,A gentle bear named Ben.,no,no,no,no,no,no,no
Which 70s show was based on the British show Till Death Us Do Part?,All in the Family.,All in the Family,Porridge,All in the Family,All in the Family,All in the Family,All in the Family,All in the Family,yes,no,yes,yes,yes,yes,yes
On what date in 1969 did Neil Armstrong first set foot on the Moon?,"July 20, 1969.",July 20,July 20,July 20,July 20,July 20,July 20,July 20,yes,yes,yes,yes,yes,yes,yes
Bandar Seri Begawan International airport is in which country?,Brunei.,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,yes,yes,yes,yes,yes,yes,yes
What was the profession of Paul Strand (1890 - 1976)?,American photographer and filmmaker.,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,yes,yes,yes,yes,yes,yes,yes
"""Which supermodel said, """"I look very scary in the mornings?""",Cindy Crawford.,Naomi Campbell,Naomi Campbell,Cindy Crawford,Cindy Crawford,Cindy Crawford,Cindy Crawford,Cindy Crawford,no,no,yes,yes,yes,yes,yes
Who wrote the song MacArthur Park?,Jimmy Webb.,Gilbert O'Sullivan,Gary Vuexen,Gary Sherman,Gary Sherman,Gary Vuexen,Gary置于代码中无效，应为Gary置于代码中无效。,Gary U.S. Bonds,no,no,no,no,no,no,no
Who had a 60s No 1 with Downtown?,Petula Clark.,The Archies,The Monkees,The Monkees,The Monkees,The Monkees,The Monkees,The Monkees,no,no,no,no,no,no,no
"Who was born first, Kiefer Sutherland or Christian Slater?","Kiefer Sutherland, born December 21, 1966.",Christian Slater,Christian Slater,Christian Slater,Kiefer Sutherland,Christian Slater,Christian Slater,Christian Slater,no,no,no,yes,no,no,no
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",Jimmy Connors won 8 titles.,9,8,8,8,7,8,7,no,yes,yes,yes,no,yes,no
Who was the Georgia Peach?,"Ty Cobb, famous baseball player.",Margaret Mitchell,Julia Roberts,Sarah Miles,Sarah Miles,"Not sure, needs verification.",Not a person.,Peaches Cristian,no,no,no,no,yes,no,no
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix set fire to his guitar.,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,no,no,no,no,no,no,no
Della Street was whose secretary?,Perry Mason's secretary.,Dick Tracy,Dick Tracy,Dick Tracy,Dick Tracy,Dick Tracy,Dick Tracy,Dick Tracy,no,no,no,no,no,no,no
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond.,The Bangles,Tina Arena,The Bangles,The Bangles,Tina Arena,"Notable for their debut single ""I Want Candy.""",Shirley Temple,no,no,no,no,no,no,no
Who is featured on Puff Daddy's Can't Hold Me Down?,Mase is featured on the song.,Ja Rule,Fat Joe,Fat Joe,Fat Joe,Fat Joe,Fat Joe,Fat Joe,no,no,no,no,no,no,no
What had Edmond Hillary worked at before taking up mountain climbing?,Edmond Hillary was a beekeeper and teacher.,postal worker,postal worker,airport ground staff,Postmaster.,airport ground staff,airport ground staff,postal worker,no,no,no,no,no,no,no
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts.,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,yes,yes,yes,yes,yes,yes,yes
Benina international airport is in which country?,Libya.,Libya,Libya,Libya,Libya,Libya,Libya,Libya,yes,yes,yes,yes,yes,yes,yes
"In 1986, which TV station sponsored the world's biggest wine tasting?",Channel 4.,KABC-TV,KABC-TV,KABC-TV,KABC-TV,KABC-TV,KABC-TV,KABC-TV,no,no,no,no,no,no,no
"To a thousand, what is the area of Illinois in square miles?","Approximately 59,588 square miles.","100,998","146,869","146,870","100,000","100,000","100,344","100,998",no,no,no,no,no,no,no
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey's.,Toni Morrison,Toni Morrison,Toni Morrison,Toni Morrison,Toni Morrison,Toni Morrison,Tyrell Jackson Williams,no,no,no,no,no,no,no
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy directed the film.,Leonard Nimoy,Robert Wise,Robert Butler,"No director from Star Trek starred in or directed ""Three Men and a Baby","No, it was not a Star Trek actor/director.","No Star Trek actor directed ""Three Men and a Baby.""",Jonathan Frakes,yes,no,no,no,no,no,no
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston and Paul Rudd.,Courteney Cox,Courteney Cox,Courteney Cox,Courteney Cox,Courteney Cox,Courteney Cox,Courteney Cox,no,no,no,no,no,no,no
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinker Bell.,Captive Girl,Captive Girl,Wendy Darling,Captive Girl,Catherineitime,Captive Girl,"Captain James Hook's daughter, Wendy.",no,no,no,no,no,no,no
Which US president did Anthony Hopkins play in a film whose title was simply his name?,Nixon.,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,yes,yes,yes,yes,yes,yes,yes
Which movie was a biopic about the life of David Helfgott?,"Shine, the 1996 Australian film.",Shine,Shine,Shine,Shine,Shine,Shine,Shine,yes,yes,yes,yes,yes,yes,yes
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman.,Jonathan Demme,Jonathan Demme,Jonathan Demme,Clarke Peters,Clarke Peters,Jonathan Demme,Jonathan Demme,no,no,no,no,no,no,no
In which sci fi classic did the space ship Nostromo first appear?,Alien (1979) film.,Alien,Alien,Alien,Alien,Alien,Alien,Alien,yes,yes,yes,yes,yes,yes,yes
Nigel Hawthorne was Oscar nominated for The Madness of which King?,King George.,George III,George III,George III,George III,King George III,George III,King George III,yes,yes,yes,yes,yes,yes,yes
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman.,Ingrid Bergman,Kate Winslet,Stellan Skarsgård,Stéphane Audran,None,None,Ingrid Bergman,yes,no,no,no,no,no,yes
Which Oscar-nominated film had You Sexy Thing as its theme song?,The Full Monty (1997 film).,Flashdance,Midnight Cowboy,Flashdance,Flashdance,Flashdance,None,Flashdance,no,no,no,no,no,no,no
Which Joan's career revived in Whatever Happened to Baby Jane?,Bette Davis and Joan Crawford.,Joan Crawford,Joan Crawford,Joan Crawford,Joan Crawford,Joan Crawford,Joan Crawford,Joan Crawford,yes,yes,yes,yes,yes,yes,yes
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart won for The Philadelphia Story.,James Stewart,James Stewart,James Stewart,James Stewart,James Stewart,James Stewart,James Stewart,yes,yes,no,yes,yes,yes,yes
Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire.,Fay Wray,Fay Wray,Fay Wray,Fay Wray,Twyla Tharp,None,Fay Wray,no,no,no,no,no,no,no
