question,ground_truth,answer
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","...for a rich man to enter into the kingdom of God. The words are those of Jesus, from Matthew 19:24","""...for a rich man to enter the kingdom."""
What was Truman Capote's last name before he was adopted by his stepfather?,Persons,Persons
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,"Aunt Erma's Cope Book, by Erma Bombeck",The Amityville Horror by Jay Anson.
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A boojum,A Boojum.
In what state was playwright Tennessee Williams born?,"In Mississippi, as Thomas Lanier Williams. He took the name Tennessee after his father's home state",Mississippi.
Who was the only Englishman to become Pope?,"Nicholas Breakspear, who was Adrian IV from 1154 to 1159","Pope Adrian IV, Nicholas Breakspear."
"In the Bible, who did the sun and moon stand still before?",Joshua,Joshua.
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,Dangerous Minds.
"In the Bible, who saw the handwriting on the wall?",The Babylonian king Belshazzar (Daniel 5:1-5),Daniel saw the handwriting on the wall.
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"Jeff, of Mutt and Jeff","Dennis the Menace's dog, Ruff's friend, is named Jeff."
What was President Gerald Ford's middle name?,Rudolph,Rudolph.
Who recorded the When Harry Met Sally soundtrack?,Harry Connick Jnr,Harry Connick Jr. recorded the soundtrack.
Art Garfunkel trained for which profession although he didn't qualify?,Architect,"Architecture, at Columbia University."
Who was the last inmate of Spandau jail in Berlin?,Rudolf Hess,"Rudolf Hess, Nazi official."
What was Eddie Murphy's first movie?,48 Hours,48 Hrs (1982)
In the 80s who wrote the novel Empire of The Sun?,J. G. Ballard,J.G. Ballard.
Kagoshima international airport is in which country?,Japan,Japan.
In which sport could the Pacers take on the Pistons?,A: Basketball,"Basketball, specifically the NBA."
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Stars on 45 medley,Medley by Stars on 45.
Where in Canada is the Lion's Gate bridge?,Vancouver,"Vancouver, British Columbia."
What was Walter Matthau's first movie?,The Kentuckian,Strangers on a Train (1951) was his debut.
Otis Barton was a pioneer in exploring where?,Underwater,The deep ocean depths.
Where in England was actor Nigel Hawthorne born?,Coventry,"Coventry, England."
What would Kevin Scale have been called if it had adopted the originator's first name?,William Scale,"Anders Scale, after Anders Celsius."
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",A manticore,Manticore.
"In Greek mythology, who were Arges, Brontes and Steropes?",Cyclopes,"The Cyclopes, Hephaestus' helpers."
"In Greek mythology, what were the names of Oedipus's parents?","Laius, King of Thebes, and his queen, Jocasta",Laius and Jocasta.
Which musician founded the Red Hot Peppers?,Jelly Roll Morton,Anthony Kiedis and friends founded Red Hot Chili Peppers.
Where did the Shinning Path terrorists operate?,Peru,"Peru, primarily in the Andes region."
How old was Jimi Hendrix when he died?,27,27 years old.
Which Brit broke the land speed record in 1990 in Thrust 2?,Richard Noble,"Andy Green didn't, it was Richard Noble and Andy Green's."
In which state was Gene Vincent born?,Virginia,Virginia.
How was the European Recovery Program in the 1940s more commonly known?,Marshall Plan,The Marshall Plan.
Brandon Lee died during the making of which movie?,The Crow,The Crow.
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers,The Staple Singers.
Who had a Too Legit To Quit Tour?,MC Hammer,MC Hammer.
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster,Triumph and Disaster.
Who is the most successful UK solo artist in the USA?,Elton John,Elton John.
Where was horse racing's Breeder's Cup held in 1987?,Hollywood Park L.A,Hollywood Park in California.
Which country does the airline TAAG come from?,Angola,Angola.
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down,Upside Down
River Phoenix died during the making of which movie?,Dark Blood,Dark Blood.
Which artist David was born in Bradford UK?,Hockney,David Hockney.
What is Mel Gibson's middle name?,Columcille,Colville.
Richard Daley was mayor of which city for 21 years?,Chicago,Chicago
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel,Grand Hotel.
Robert Kirkpatrick of California grew the world's biggest what?,Head of garlic,"Pumpkin, weighing over 2,000 pounds."
What is Osbert Lancaster best known for producing?,Cartoons,Satirical cartoons and theatrical designs.
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade,Chris Evert.
Who was the first US-born winner of golf's British Open?,Walter Hagen,Tom Watson in 1975.
In which country is the Sky Train Rail bridge?,Canada,"Canada, specifically in Vancouver, British Columbia."
What was the Paramount Film Company originally called?,Famous Players Film Company,Famous Players Film Company.
Which founder of the company Triad was accused by the USA of receiving bribes?,Adnan Khashoggi,"Dmitry Firtash, founder of Group DF (formerly Triad)."
Who was the first person after Scott to reach the South Pole overland?,Edmond Hillary,Robert Falcon Scott's rival was Robert Falcon Scott second.
Which journalist first told the world about the My Lai massacre?,Seymour Hersh,Seymour Hersh.
What is the name of Terence and Shirley Conran's dress designer son?,Jasper,Jasper Conran.
Which drink did The Spice Girls promote?,Pepsi,Pepsi.
Who was the youngest brother in the Beach Boys?,Carl Wilson,Carl Wilson.
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Ingrid Bergman,Ingrid Bergman.
Who first hosted Family Feud?,Richard Dawson,Richard Dawson.
What did the Lone Ranger's title Kemo Sabe mean in Apache?,White Shirt,Trusted friend or brother.
Who or what was Gentle Ben in the 60s TV series?,Bear cub,Large male American black bear.
Which 70s show was based on the British show Till Death Us Do Part?,All In The Family,All in the Family.
On what date in 1969 did Neil Armstrong first set foot on the Moon?,July 20th,"July 20, 1969."
Bandar Seri Begawan International airport is in which country?,Brunei,Brunei.
What was the profession of Paul Strand (1890 - 1976)?,Photographer,American photographer and filmmaker.
