question,ground_truth,answer,ground_truth_present
What is Osbert Lancaster best known for producing?,Cartoons,Satirical cartoons and theatrical designs.,Yes
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade,Chris Evert.,No
Who was the first US-born winner of golf's British Open?,Walter Hagen,Tom Watson in 1975.,No
In which country is the Sky Train Rail bridge?,Canada,"Canada, specifically in Vancouver, British Columbia.",Yes
What was the Paramount Film Company originally called?,Famous Players Film Company,Famous Players Film Company.,Yes
Which founder of the company Triad was accused by the USA of receiving bribes?,Adnan Khashoggi,"Dmitry Firtash, founder of Group DF (formerly Triad).",No
Who was the first person after Scott to reach the South Pole overland?,Edmond Hillary,Robert Falcon Scott's rival was Robert Falcon Scott second.,No
Which journalist first told the world about the My Lai massacre?,Seymour Hersh,Seymour Hersh.,Yes
What is the name of Terence and Shirley Conran's dress designer son?,Jasper,Jasper Conran.,Yes
Which drink did The Spice Girls promote?,Pepsi,Pepsi.,Yes
Who was the youngest brother in the Beach Boys?,Carl Wilson,Carl Wilson.,Yes
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Ingrid Bergman,Ingrid Bergman.,Yes
Who first hosted Family Feud?,Richard Dawson,Richard Dawson.,Yes
What did the Lone Ranger's title Kemo Sabe mean in Apache?,White Shirt,Trusted friend or brother.,No
Who or what was Gentle Ben in the 60s TV series?,Bear cub,Large male American black bear.,No
Which 70s show was based on the British show Till Death Us Do Part?,All In The Family,All in the Family.,Yes
On what date in 1969 did Neil Armstrong first set foot on the Moon?,July 20th,"July 20, 1969.",No
Bandar Seri Begawan International airport is in which country?,Brunei,Brunei.,Yes
What was the profession of Paul Strand (1890 - 1976)?,Photographer,American photographer and filmmaker.,Yes
"""Which supermodel said, """"I look very scary in the mornings?""",Linda Evangelista,Cindy Crawford.,No
Who wrote the song MacArthur Park?,Jim Webb,Jimmy Webb.,No
Who had a 60s No 1 with Downtown?,Petula Clark,Petula Clark.,Yes
"Who was born first, Kiefer Sutherland or Christian Slater?",Kiefer Sutherland,"Kiefer Sutherland, born December 21, 1966.",Yes
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",10,Jimmy Connors won 8 titles.,No
Who was the Georgia Peach?,Ty Cobb,"Ty Cobb, famous baseball player.",Yes
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix,Jimi Hendrix set fire to his guitar.,Yes
Della Street was whose secretary?,Perry Mason,Perry Mason's secretary.,Yes
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond,Donny Osmond.,Yes
Who is featured on Puff Daddy's Can't Hold Me Down?,Mase,Mase is featured on the song.,Yes
What had Edmond Hillary worked at before taking up mountain climbing?,Bee Keeping,Edmond Hillary was a beekeeper and teacher.,No
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts,Massachusetts.,Yes
Benina international airport is in which country?,Libya,Libya.,Yes
"In 1986, which TV station sponsored the world's biggest wine tasting?",KQED,Channel 4.,No
"To a thousand, what is the area of Illinois in square miles?","55,646","Approximately 59,588 square miles.",No
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey,Oprah Winfrey's.,Yes
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy,Leonard Nimoy directed the film.,Yes
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston,Jennifer Aniston and Paul Rudd.,Yes
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinkerbell,Tinker Bell.,No
Which US president did Anthony Hopkins play in a film whose title was simply his name?,Nixon,Nixon.,Yes
Which movie was a biopic about the life of David Helfgott?,Shine,"Shine, the 1996 Australian film.",Yes
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman,Roger Corman.,Yes
In which sci fi classic did the space ship Nostromo first appear?,Alien,Alien (1979) film.,Yes
Nigel Hawthorne was Oscar nominated for The Madness of which King?,George,King George.,Yes
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman,Ingrid Bergman.,Yes
Which Oscar-nominated film had You Sexy Thing as its theme song?,The Full Monty,The Full Monty (1997 film).,Yes
Which Joan's career revived in Whatever Happened to Baby Jane?,Crawford,Bette Davis and Joan Crawford.,Yes
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart,James Stewart won for The Philadelphia Story.,Yes
Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire,Fred Astaire.,Yes
What was the name of the brothel in The Best Little Whorehouse in Texas?,Chicken Ranch,The Chicken Ranch.,Yes
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole,Peter O'Toole.,Yes
What relation is Joey Richardson to Vanessa Redgrave?,Daughter,"Joely Richardson, Vanessa's daughter.",Yes
Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis,Martina Hingis.,Yes
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium,Belgium.,Yes
On which date in 1945 did Hitler take cyanide then shoot himself?,April 30th,"April 30, 1945.",No
How old would Elvis Presley have been had he lived to the end of the 20th century?,64,"65 years old by December 31, 1999.",No
In which river is the Boulder Dam?,Colorado,Colorado River.,Yes
"Which sports event was first held at Worcester, Massachusetts in 1927?",Ryder Cup,The U.S. Figure Skating Championships.,No
In which European city is the Belvederen Gallery?,Vienna,Vienna.,Yes
How old was Woody Herman when he founded his own orchestra?,13,Woody Herman was 23 years old.,No
For which movie did Katharine Hepburn win her second Oscar?,Guess Who's Coming To Dinner,"""Guess Who's Coming to Dinner""",Yes
Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys,Gary Lewis and the Playboys.,Yes
The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,Sweden,Sweden.,Yes
In which country was the first permanent bungee jumping site situated?,New Zealand,New Zealand.,Yes
Who succeeded Brezhnev as Soviet premier?,Andropov,Yuri Andropov succeeded Brezhnev.,Yes
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,Baby Buggy,Collapsible baby stroller.,No
In which city's shipyard was Solidarity set up?,"Gdansk, Poland","Gdansk, Poland.",Yes
What was the first spacecraft to land on another planet?,Venera 7 (Venus.),Soviet Union's Venera 7 on Venus in 1970.,No
Which female singer was born on exactly the same day as impressionist Rich Little?,Tina Turner,"Tina Turner, born November 26, 1939.",Yes
What is Harrison Ford's real name?,Harrison Ford,William Henry Harrison Ford,Yes
Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris,Roger Maris' single-season record.,Yes
What were Joe DiMaggio's two baseball-playing brothers called?,Dom & Vincent,Vince and Dom DiMaggio.,No
Who won baseball's first World Series of the 80s?,Philadelphia Phillies,Philadelphia Phillies.,Yes
What was Pete Sampras seeded when he won his first US Open?,12,Pete Sampras was 12th seed.,Yes
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocky Marciano,Muhammad Ali.,No
Where did Jonathan Edwards set his 1995 triple jump world record?,Sweden,"Gothenburg, Sweden.",Yes
"In baseball, where do the Orioles come from?",Baltimore,"Baltimore, Maryland.",Yes
The Naismith Award is presented in which sport?,Basket ball,Basketball.,No
Which cartoon and film character is the nickname of super athlete Michael Johnson?,Superman,The Fastest Man.,No
For which team did Babe Ruth blast his last Major League home run?,Boston Braves,Boston Braves.,Yes
How old would Bobby Kennedy have been had he lived to the end of the 20th century?,74,73 years old.,No
What was Warren Beatty's first movie?,Splendor in the Grass,Splendor in the Grass (1961).,Yes
Where does Roseanne have a tattoo of a pink rose?,Her foot,On her chest and buttocks.,No
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Debra Winger,Debra Winger as Wonder Girl.,Yes
Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,Mickey Dolenz (The Monkees),Mickey Dolenz in The Monkees.,No
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,Tom Selleck,"Jack Webb, a US Navy veteran.",No
What US sitcom was the first exported to Britain?,Amos 'N' Andy,"I Love Lucy, in 1955.",No
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,John Astin.,Yes
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,Florence Henderson,"Leslie Nielsen's love interest, Joan Spencer.",No
In 1990 who faced banners saying Goodbye Pineapple Face?,Manuel Noriega,George H.W. Bush in Japan.,No
How much did Clint Eastwood receive per month for his duties as Mayor of Carmel?,"$200,",One dollar per month.,No
Which US president won the Nobel Peace Prize in 1920?,Woodrow Wilson,Woodrow Wilson received it.,Yes
Who beat Tim Henman in his first Wimbledon singles semifinal?,Pete Sampras,Sampras beat Henman in 1998.,No
What relation was Flo Jo to Jackie Joyner Kersee?,Sister-in-law,Rivals and Olympic track teammates.,No
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,4 years,Four years ban by FINA.,No
Yuan Yuan was caught carrying drugs for which Chinese team?,Swimming,The Chinese national swimming team.,Yes
Which grand slam did Pete Sampras not win in the 20th century?,French,French Open.,Yes
In which events did Gert Fredriksson win six Olympic gold medals?,Canoeing,Kayaking: K-1 1000m and K-1 10000m events.,No
"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",Three,Three Formula One races won.,Yes
On the Internet what is Spam?,Junk mail,Unwanted or junk email messages.,No
In which country did the Internet start?,USA,United States.,No
In which year was the Juilliard School founded in New York?,1905,1905,Yes
Where was horse racing's Breeders' Cup held in 1989?,"Gulfstream Park, Florida",Gulfstream Park in Florida.,No
"Who wrote My Life and Loves in 1926, originally banned in the US?",Frank Harris,"Frank Harris wrote ""My Life and Loves"".",Yes
What was Blondie's last UK No 1 of the 80s?,Rapture,"Call Me, in April 1981",No
"If it is 3 a.m. in Nevada, what time is it in Montana?",4 a.m,"Same time, both in Mountain Time.",No
"In baseball, where do the Royals come from?",Kansas city,Kansas City.,Yes
What is the largest city in Ohio?,Cleveland,Columbus.,No
In which decade of the 20th century was Anne Bancroft born?,1930s,1930s.,Yes
The Suez Canal connects the Mediterranean Sea to which other Sea?,Red sea,The Red Sea.,Yes
Vehicles from which country use the international registration letter E?,Spain,Spain.,Yes
Which rock star did Cindy Crawford name her first son after?,Presley,"Preston, after The Beatles' Preston Lennon, or John's son.",No
Sun Yat Sen overthrew the emperor in which country establishing a republic after 2000 years of imperial rule?,China,China.,Yes
Who designed the dress which made the most at Diana's dress auction?,Victor Edelstein,Victor Edelstein designed the highest-selling dress.,Yes
Which Palestinian co-founded al Fatah in 1957?,Yasser Arafat,Yasser Arafat.,Yes
In which country was Earl Spencer's acrimonious divorce settlement heard?,South Africa,South Africa.,Yes
"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, born?",Egypt,Egypt.,Yes
Aung San Suu Kyi is a controversial leader in which country?,Myanmar,Myanmar.,Yes
Which of the founders of United Artists had the last name nearest the beginning of the alphabet?,Chaplin,Chaplin,Yes
"In La Cage Aux Folles, what was La Cage Aux Folles?",Nightclub,A popular drag nightclub in Saint-Tropez.,Yes
Where was the Fiddler in the musical's title?,On the Roof,On the roof of his village.,Yes
South Pacific was set during which war?,WWII,World War II.,No
What percentage of the earth's surface is covered by Europe?,8%,About 6.8% of the Earth's land area.,Yes
Which European town gave its name to a Treaty which symbolizes closer economic links between European countries?,Maastricht,Maastricht.,Yes
Which home of champagne in France was also where the German High Command surrendered in WWII?,Reims,Reims.,Yes
Which was the first European city this century to open an underground railway system?,Paris,"London, in 1863.",No
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks,Ub Iwerks drew Mickey in 1928.,Yes
Which actress wrote the novel The Last of the Really Great Whangdoodles?,Julie Andrews,Julie Andrews.,Yes
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,Barbara Eden,Barbara Eden starred in Harper Valley PTA.,Yes
What color golf balls are used on the golf course in Antarctica?,Orange,There are no golf courses in Antarctica.,No
Throughout the 80s and 90s Phil Collins recorded on which record label?,Atlantic,Atlantic and Virgin Records.,Yes
On which label did Chuck Berry record in the 1950s and 1960s?,Chess,Chess Records.,Yes
Which museum has the highest-funded art gallery?,Getty Museum,"The Louvre in Paris, France.",No
What was the name of Michael Jackson's second wife?,Debbie Rowe,Debbie Rowe.,Yes
Which US city was named after a British Prime Minister?,Pittsburgh,"Pittsburgh, named after William Pitt.",Yes
"""Who said, To err is human but it feels divine?""""""",Mae West,Mae West said this quote.,Yes
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,Teresa Brewer then Bobby Vinton.,Yes
What are the international registration letters of a vehicle from Iceland?,IS,IS.,Yes
Where was the American venue of the Live Aid concert?,Philadelphia,"John F. Kennedy Stadium, Philadelphia.",Yes
Which was the longest moon landing?,Apollo 17,"Apollo 17, 75 hours on moon.",Yes
Who had the most expensive presidential inauguration ceremony of the 20th century?,George W. Bush,"Ronald Reagan in 1981, costing $20 million.",No
Who became Israel's head of state in 1993?,Ezer Weizman,Ezer Weizman became Israel's head of state.,Yes
"In WWII, who was the head of the Nazi party's security service?",Reinhard Heidrich,Heinrich Himmler led the SS and security services.,No
Which President of the Philippines was deposed in 1986?,Marcos,Ferdinand Marcos.,Yes
"What kind of disaster claimed some 100,000 lives in Armenia in 1988?",Earthquake,Earthquake.,Yes
Which state on the Gulf of Mexico is nearest the end of the alphabet?,Texas,Texas.,Yes
"To ten thousand square miles, what is the area of Michigan?","58,125 square miles","Michigan is approximately 56,804 square miles.",No
Truax Field international airport is in which US state?,Wisconsin,Wisconsin.,Yes
In what month was the attack on Pearl Harbor?,December,December.,Yes
Who did Dr. Crippen murder?,His wife,"His wife, Cora Henrietta Crippen.",Yes
"In the 1904 Olympics, how many of the 23 track and field titles were won by Americans?",21,21 of 23 titles were won by Americans.,Yes
The Black Hills lie between which two rivers?,Belle Fourche and Cheyenne,Cheyenne and Belle Fourche rivers.,No
In what year was the first in-flight movie shown on an internal flight in the USA.,1929,1921 on a plane over Chicago.,No
In which city was John Lennon murdered?,New York,New York City.,Yes
How was President Kennedy assassinated?,Shot,"Gunshot in Dallas, Texas, on November 22, 1963.",Yes
Which caped crusader operated in Gotham City?,Batman,Batman.,Yes
Who did Jack Ruby shoot in November 1963?,Lee Harvey Oswald,Lee Harvey Oswald.,Yes
Who was the first American to travel faster than the speed of sound?,Chuck Yeager,"Chuck Yeager on October 14, 1947.",Yes
Who was the first US president Barbara Walters interviewed?,Nixon,Richard Nixon in 1976.,Yes
Which orchestral conductor was married to one of the subjects of the film Hillary and Jackie?,Daniel Barenboim,"Daniel Barenboim, husband of Jacqueline du Pré.",Yes
Which writer and politician became Lord Tweedsmuir?,John Buchan,John Buchan.,Yes
In what year was the first Tarzan novel published?,1914,"1912, by Edgar Rice Burroughs.",No
In which country were motorized ambulances first used?,France,"United States, in 1899.",No
In which city was the first Model T produced outside the USA?,Manchester,"Manchester, England.",Yes
What is the Pacific terminus of the Trans Siberian Railway?,Vladivostok,Vladivostok.,Yes
What appears in the middle of the Rwandan flag?,A letter R,A yellow sun with 24 rays.,No
What is the name of the mountain pass which lies between Pakistan and Afghanistan?,Khyber pass,Khyber Pass.,Yes
"What is the name of the group of 1,196 islands in the North Indian Ocean, none bigger than five square miles?",Maldives,The Maldives.,Yes
Which Syrian city is said to be the oldest continually inhabited city in the world?,Damascus,Damascus.,Yes
Who was king of France at the time of the French Revolution?,Louis XVI,Louis XVI.,Yes
What is the principal language of Bulgaria?,Bulgarian,Bulgarian.,Yes
"What is the name of the cathedral in Red Square, Moscow?",St. Basil's,St. Basil's Cathedral.,Yes
Which country is known to its people as Suomen Tasavalta?,Finland,Finland,Yes
Which crusade was led by Philip II Augustus of France and Richard I of England?,Third crusade,The Third Crusade.,Yes
In which Netherlands city does the United Nations International Court of Justice sit?,The Hague,The Hague.,Yes
"In which battle did Harold II, the last Saxon king, lose his life?",Battle of Hastings,"Hastings, 1066.",No
Who proclaimed the People's Republic of China in 1949?,Mao Zedong,Mao Zedong.,Yes
"Which wife of Henry VIII had already married twice before she became queen, and married for a fourth time after Henry's death?",Catherine Parr,Catherine Parr.,Yes
In which country is the castle that gives the Habsburg dynasty its name?,Switzerland,Switzerland.,Yes
Who were the victors of the Battle of Austerlitz?,The French under Napoleon,The French under Napoleon.,Yes
In which parliament has the UK 87 seats for members who are elected for a five0-year term?,European Parliament,European Parliament.,Yes
What was the former name of the British Green Party?,Ecology Party,"People Party, then Ecology Party.",Yes
Who were the two prime ministers of Britain during World War II?,Neville Chamberlain and Winston Churchill,Winston Churchill and Neville Chamberlain.,No
"""What is the more common name of the """"simple plurality"""" system of voting?""",First past the post,First Past the Post,Yes
What word for unthinking patriotism is derived from the name of one of Napoleon's admirers?,Chauvinism,Jingoism.,No
Which builder of steam engines formed a successful partnership with Matthew Boulton?,James Watt,James Watt.,Yes
What was the nickname of the French singer Edith Piaf?,The Little Sparrow,La Môme Piaf (The Sparrow).,No
Whose birthday is celebrated by a public holiday on the third Monday in January in the USA?,Martin Luther King,Martin Luther King Jr.,Yes
What type of coal is brown and fibrous?,Lignite,Lignite.,Yes
What raw material is used for making glass?,Sand,Silica or sand is the primary raw material.,Yes
What kind of an organism is a truffle?,Fungus,Fungus.,Yes
What is the name of the strong material found in plant cell walls?,Cellulose,Cellulose.,Yes
What name is given to the change of state from liquid to gas?,Evaporation,Vaporization or Evaporation.,Yes
"Which branch of science has four fundamental principles: addition, subtraction, multiplication, and division.",Arithmetic,Mathematics.,No
What is the force that opposes the relative motion of two bodies that are in contact?,Friction,Friction.,Yes
What is the fastest animal on two legs?,An Ostrich,"Ostrich, reaching 45 mph.",No
What is the green pigment used by plants to trap sunlight?,Chlorophyll,Chlorophyll.,Yes
What id the name given to the study of birds?,Ornithology,Ornithology.,Yes
"Of which reptile are there only two species, one living in the Mississippi and the other in China?",Alligator,Alligator.,Yes
"What type of seaweed grows up to 100 meters in length, and is farmed for its alginates?",Kelp,Kelp.,Yes
Where in a vertebrate would you find the protein myoglobin?,Muscle tissue,"In muscle tissue, particularly in muscles of vertebrates.",Yes
"What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?",Cellulose,Cellulose.,Yes
"Which family of insects has species named 'drivers', 'weavers', 'and even individuals called 'soldiers'?",Ant,"Ants, Wasps, and Termites, also known as social insects.",Yes
What name is given to the study of animal behavior?,Ethology,Ethology.,Yes
Mosses are classified as belonging to which part of the plant kingdom?,Bryophyta,Bryophyta division.,Yes
"Which rodent rears its young, called kittens, in a nest called a drey?",Squirrel,Squirrel.,Yes
What has a central vein called a midrib?,Leaf,Leaf.,Yes
"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,Beaver.,Yes
What is the generic word for plants that grow in water or water-logged conditions?,Hydrophytes,Aquatic plants or hydrophytes.,Yes
"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth,Wisdom teeth.,Yes
What is secreted by the pancreas to regulate blood sugar levels?,Insulin,Insulin and glucagon hormones.,Yes
How many chambers has the heart?,Four,The heart has four chambers.,Yes
What is the name of the large buttock and thigh muscle?,Gluteus maximus,Gluteus maximus.,Yes
"When the egg is released from the ovary, what is left behind?",Corpus luteum,The ruptured follicle and corpus luteum remain.,Yes
What is the scientific name for the heart's pacemaker?,Sinoatrial node,Sinoatrial node.,Yes
Which hormone helps control ovulation?,Luteinizing hormone,"Estrogen and progesterone, mainly estrogen.",No
What is the second most common gas in the atmosphere?,Oxygen,Oxygen.,Yes
What is the term for nutrient enrichment of lakes?,Eutrophication,Eutrophication.,Yes
Five-legged creatures have damaged which 1250 mile long wonder of the world?,Great Barrier Reef,The Great Barrier Reef.,Yes
Which radioactive substance sometimes occurs naturally in spring water?,Radon,Radon.,Yes
What is the approximate circumference of the earth?,"24,900 miles","Approximately 24,901 miles at the equator.",No
What is the name of the organization which controls whaling?,The International Whaling Commission or IWC,International Whaling Commission (IWC).,No
How large is the area seated within the project BioSphere 2?,3.5 acres,3.15 acres in Arizona.,No
