question,ground_truth
Who or what was Gentle Ben in the 60s TV series?,Large male American black bear.
Which 70s show was based on the British show Till Death Us Do Part?,All in the Family.
On what date in 1969 did Neil Armstrong first set foot on the Moon?,"July 20, 1969."
Bandar Seri Begawan International airport is in which country?,Brunei.
What was the profession of Paul Strand (1890 - 1976)?,American photographer and filmmaker.
"""Which supermodel said, """"I look very scary in the mornings?""",Cindy Crawford.
Who wrote the song MacArthur Park?,Jimmy Webb.
Who had a 60s No 1 with Downtown?,Petula Clark.
"Who was born first, Kiefer Sutherland or Christian Slater?","Kiefer Sutherland, born December 21, 1966."
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",Jimmy Connors won 8 titles.
Who was the Georgia Peach?,"Ty Cobb, famous baseball player."
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix set fire to his guitar.
Della Street was whose secretary?,Perry Mason's secretary.
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond.
Who is featured on Puff Daddy's Can't Hold Me Down?,Mase is featured on the song.
What had Edmond Hillary worked at before taking up mountain climbing?,Edmond Hillary was a beekeeper and teacher.
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts.
Benina international airport is in which country?,Libya.
"In 1986, which TV station sponsored the world's biggest wine tasting?",Channel 4.
"To a thousand, what is the area of Illinois in square miles?","Approximately 59,588 square miles."
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey's.
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy directed the film.
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston and Paul Rudd.
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinker Bell.
Which US president did Anthony Hopkins play in a film whose title was simply his name?,Nixon.
Which movie was a biopic about the life of David Helfgott?,"Shine, the 1996 Australian film."
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman.
In which sci fi classic did the space ship Nostromo first appear?,Alien (1979) film.
Nigel Hawthorne was Oscar nominated for The Madness of which King?,King George.
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman.
Which Oscar-nominated film had You Sexy Thing as its theme song?,The Full Monty (1997 film).
Which Joan's career revived in Whatever Happened to Baby Jane?,Bette Davis and Joan Crawford.
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart won for The Philadelphia Story.
Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire.
What was the name of the brothel in The Best Little Whorehouse in Texas?,The Chicken Ranch.
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole.
What relation is Joey Richardson to Vanessa Redgrave?,"Joely Richardson, Vanessa's daughter."
Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis.
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium.
On which date in 1945 did Hitler take cyanide then shoot himself?,"April 30, 1945."
How old would Elvis Presley have been had he lived to the end of the 20th century?,"65 years old by December 31, 1999."
In which river is the Boulder Dam?,Colorado River.
"Which sports event was first held at Worcester, Massachusetts in 1927?",The U.S. Figure Skating Championships.
In which European city is the Belvederen Gallery?,Vienna.
How old was Woody Herman when he founded his own orchestra?,Woody Herman was 23 years old.
For which movie did Katharine Hepburn win her second Oscar?,"""Guess Who's Coming to Dinner"""
Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys.
The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,Sweden.
In which country was the first permanent bungee jumping site situated?,New Zealand.
Who succeeded Brezhnev as Soviet premier?,Yuri Andropov succeeded Brezhnev.
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,Collapsible baby stroller.
In which city's shipyard was Solidarity set up?,"Gdansk, Poland."
What was the first spacecraft to land on another planet?,Soviet Union's Venera 7 on Venus in 1970.
Which female singer was born on exactly the same day as impressionist Rich Little?,"Tina Turner, born November 26, 1939."
What is Harrison Ford's real name?,William Henry Harrison Ford
Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris' single-season record.
What were Joe DiMaggio's two baseball-playing brothers called?,Vince and Dom DiMaggio.
Who won baseball's first World Series of the 80s?,Philadelphia Phillies.
What was Pete Sampras seeded when he won his first US Open?,Pete Sampras was 12th seed.
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Muhammad Ali.
Where did Jonathan Edwards set his 1995 triple jump world record?,"Gothenburg, Sweden."
"In baseball, where do the Orioles come from?","Baltimore, Maryland."
The Naismith Award is presented in which sport?,Basketball.
Which cartoon and film character is the nickname of super athlete Michael Johnson?,The Fastest Man.
For which team did Babe Ruth blast his last Major League home run?,Boston Braves.
How old would Bobby Kennedy have been had he lived to the end of the 20th century?,73 years old.
What was Warren Beatty's first movie?,Splendor in the Grass (1961).
Where does Roseanne have a tattoo of a pink rose?,On her chest and buttocks.
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Debra Winger as Wonder Girl.
Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,Mickey Dolenz in The Monkees.
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,"Jack Webb, a US Navy veteran."
What US sitcom was the first exported to Britain?,"I Love Lucy, in 1955."
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin.
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,"Leslie Nielsen's love interest, Joan Spencer."
In 1990 who faced banners saying Goodbye Pineapple Face?,George H.W. Bush in Japan.
How much did Clint Eastwood receive per month for his duties as Mayor of Carmel?,One dollar per month.
Which US president won the Nobel Peace Prize in 1920?,Woodrow Wilson received it.
Who beat Tim Henman in his first Wimbledon singles semifinal?,Sampras beat Henman in 1998.
What relation was Flo Jo to Jackie Joyner Kersee?,Rivals and Olympic track teammates.
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,Four years ban by FINA.
Yuan Yuan was caught carrying drugs for which Chinese team?,The Chinese national swimming team.
Which grand slam did Pete Sampras not win in the 20th century?,French Open.
In which events did Gert Fredriksson win six Olympic gold medals?,Kayaking: K-1 1000m and K-1 10000m events.
"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",Three Formula One races won.
On the Internet what is Spam?,Unwanted or junk email messages.
In which country did the Internet start?,United States.
In which year was the Juilliard School founded in New York?,1905
Where was horse racing's Breeders' Cup held in 1989?,Gulfstream Park in Florida.
"Who wrote My Life and Loves in 1926, originally banned in the US?","Frank Harris wrote ""My Life and Loves""."
What was Blondie's last UK No 1 of the 80s?,"Call Me, in April 1981"
"If it is 3 a.m. in Nevada, what time is it in Montana?","Same time, both in Mountain Time."
"In baseball, where do the Royals come from?",Kansas City.
What is the largest city in Ohio?,Columbus.
In which decade of the 20th century was Anne Bancroft born?,1930s.
The Suez Canal connects the Mediterranean Sea to which other Sea?,The Red Sea.
Vehicles from which country use the international registration letter E?,Spain.
Which rock star did Cindy Crawford name her first son after?,"Preston, after The Beatles' Preston Lennon, or John's son."
Sun Yat Sen overthrew the emperor in which country establishing a republic after 2000 years of imperial rule?,China.
Who designed the dress which made the most at Diana's dress auction?,Victor Edelstein designed the highest-selling dress.
Which Palestinian co-founded al Fatah in 1957?,Yasser Arafat.
In which country was Earl Spencer's acrimonious divorce settlement heard?,South Africa.
"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, born?",Egypt.
Aung San Suu Kyi is a controversial leader in which country?,Myanmar.
Which of the founders of United Artists had the last name nearest the beginning of the alphabet?,Chaplin
"In La Cage Aux Folles, what was La Cage Aux Folles?",A popular drag nightclub in Saint-Tropez.
Where was the Fiddler in the musical's title?,On the roof of his village.
South Pacific was set during which war?,World War II.
What percentage of the earth's surface is covered by Europe?,About 6.8% of the Earth's land area.
Which European town gave its name to a Treaty which symbolizes closer economic links between European countries?,Maastricht.
Which home of champagne in France was also where the German High Command surrendered in WWII?,Reims.
Which was the first European city this century to open an underground railway system?,"London, in 1863."
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks drew Mickey in 1928.
Which actress wrote the novel The Last of the Really Great Whangdoodles?,Julie Andrews.
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,Barbara Eden starred in Harper Valley PTA.
What color golf balls are used on the golf course in Antarctica?,There are no golf courses in Antarctica.
Throughout the 80s and 90s Phil Collins recorded on which record label?,Atlantic and Virgin Records.
On which label did Chuck Berry record in the 1950s and 1960s?,Chess Records.
Which museum has the highest-funded art gallery?,"The Louvre in Paris, France."
What was the name of Michael Jackson's second wife?,Debbie Rowe.
Which US city was named after a British Prime Minister?,"Pittsburgh, named after William Pitt."
"""Who said, To err is human but it feels divine?""""""",Mae West said this quote.
Which singer had a big 60s No 1 with Roses Are Red?,Teresa Brewer then Bobby Vinton.
What are the international registration letters of a vehicle from Iceland?,IS.
Where was the American venue of the Live Aid concert?,"John F. Kennedy Stadium, Philadelphia."
Which was the longest moon landing?,"Apollo 17, 75 hours on moon."
Who had the most expensive presidential inauguration ceremony of the 20th century?,"Ronald Reagan in 1981, costing $20 million."
Who became Israel's head of state in 1993?,Ezer Weizman became Israel's head of state.
"In WWII, who was the head of the Nazi party's security service?",Heinrich Himmler led the SS and security services.
Which President of the Philippines was deposed in 1986?,Ferdinand Marcos.
"What kind of disaster claimed some 100,000 lives in Armenia in 1988?",Earthquake.
Which state on the Gulf of Mexico is nearest the end of the alphabet?,Texas.
"To ten thousand square miles, what is the area of Michigan?","Michigan is approximately 56,804 square miles."
Truax Field international airport is in which US state?,Wisconsin.
In what month was the attack on Pearl Harbor?,December.
Who did Dr. Crippen murder?,"His wife, Cora Henrietta Crippen."
"In the 1904 Olympics, how many of the 23 track and field titles were won by Americans?",21 of 23 titles were won by Americans.
The Black Hills lie between which two rivers?,Cheyenne and Belle Fourche rivers.
In what year was the first in-flight movie shown on an internal flight in the USA.,1921 on a plane over Chicago.
In which city was John Lennon murdered?,New York City.
How was President Kennedy assassinated?,"Gunshot in Dallas, Texas, on November 22, 1963."
Which caped crusader operated in Gotham City?,Batman.
Who did Jack Ruby shoot in November 1963?,Lee Harvey Oswald.
Who was the first American to travel faster than the speed of sound?,"Chuck Yeager on October 14, 1947."
Who was the first US president Barbara Walters interviewed?,Richard Nixon in 1976.
Which orchestral conductor was married to one of the subjects of the film Hillary and Jackie?,"Daniel Barenboim, husband of Jacqueline du Pré."
Which writer and politician became Lord Tweedsmuir?,John Buchan.
In what year was the first Tarzan novel published?,"1912, by Edgar Rice Burroughs."
In which country were motorized ambulances first used?,"United States, in 1899."
In which city was the first Model T produced outside the USA?,"Manchester, England."
What is the Pacific terminus of the Trans Siberian Railway?,Vladivostok.
What appears in the middle of the Rwandan flag?,A yellow sun with 24 rays.
What is the name of the mountain pass which lies between Pakistan and Afghanistan?,Khyber Pass.
"What is the name of the group of 1,196 islands in the North Indian Ocean, none bigger than five square miles?",The Maldives.
Which Syrian city is said to be the oldest continually inhabited city in the world?,Damascus.
Who was king of France at the time of the French Revolution?,Louis XVI.
What is the principal language of Bulgaria?,Bulgarian.
"What is the name of the cathedral in Red Square, Moscow?",St. Basil's Cathedral.
Which country is known to its people as Suomen Tasavalta?,Finland
Which crusade was led by Philip II Augustus of France and Richard I of England?,The Third Crusade.
In which Netherlands city does the United Nations International Court of Justice sit?,The Hague.
"In which battle did Harold II, the last Saxon king, lose his life?","Hastings, 1066."
Who proclaimed the People's Republic of China in 1949?,Mao Zedong.
"Which wife of Henry VIII had already married twice before she became queen, and married for a fourth time after Henry's death?",Catherine Parr.
In which country is the castle that gives the Habsburg dynasty its name?,Switzerland.
Who were the victors of the Battle of Austerlitz?,The French under Napoleon.
In which parliament has the UK 87 seats for members who are elected for a five0-year term?,European Parliament.
What was the former name of the British Green Party?,"People Party, then Ecology Party."
Who were the two prime ministers of Britain during World War II?,Winston Churchill and Neville Chamberlain.
"""What is the more common name of the """"simple plurality"""" system of voting?""",First Past the Post
What word for unthinking patriotism is derived from the name of one of Napoleon's admirers?,Jingoism.
Which builder of steam engines formed a successful partnership with Matthew Boulton?,James Watt.
What was the nickname of the French singer Edith Piaf?,La Môme Piaf (The Sparrow).
Whose birthday is celebrated by a public holiday on the third Monday in January in the USA?,Martin Luther King Jr.
What type of coal is brown and fibrous?,Lignite.
What raw material is used for making glass?,Silica or sand is the primary raw material.
What kind of an organism is a truffle?,Fungus.
What is the name of the strong material found in plant cell walls?,Cellulose.
What name is given to the change of state from liquid to gas?,Vaporization or Evaporation.
"Which branch of science has four fundamental principles: addition, subtraction, multiplication, and division.",Mathematics.
What is the force that opposes the relative motion of two bodies that are in contact?,Friction.
What is the fastest animal on two legs?,"Ostrich, reaching 45 mph."
What is the green pigment used by plants to trap sunlight?,Chlorophyll.
What id the name given to the study of birds?,Ornithology.
"Of which reptile are there only two species, one living in the Mississippi and the other in China?",Alligator.
"What type of seaweed grows up to 100 meters in length, and is farmed for its alginates?",Kelp.
Where in a vertebrate would you find the protein myoglobin?,"In muscle tissue, particularly in muscles of vertebrates."
"What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?",Cellulose.
"Which family of insects has species named 'drivers', 'weavers', 'and even individuals called 'soldiers'?","Ants, Wasps, and Termites, also known as social insects."
What name is given to the study of animal behavior?,Ethology.
Mosses are classified as belonging to which part of the plant kingdom?,Bryophyta division.
"Which rodent rears its young, called kittens, in a nest called a drey?",Squirrel.
What has a central vein called a midrib?,Leaf.
"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver.
What is the generic word for plants that grow in water or water-logged conditions?,Aquatic plants or hydrophytes.
"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth.
What is secreted by the pancreas to regulate blood sugar levels?,Insulin and glucagon hormones.
How many chambers has the heart?,The heart has four chambers.
What is the name of the large buttock and thigh muscle?,Gluteus maximus.
"When the egg is released from the ovary, what is left behind?",The ruptured follicle and corpus luteum remain.
What is the scientific name for the heart's pacemaker?,Sinoatrial node.
Which hormone helps control ovulation?,"Estrogen and progesterone, mainly estrogen."
What is the second most common gas in the atmosphere?,Oxygen.
What is the term for nutrient enrichment of lakes?,Eutrophication.
Five-legged creatures have damaged which 1250 mile long wonder of the world?,The Great Barrier Reef.
Which radioactive substance sometimes occurs naturally in spring water?,Radon.
What is the approximate circumference of the earth?,"Approximately 24,901 miles at the equator."
What is the name of the organization which controls whaling?,International Whaling Commission (IWC).
How large is the area seated within the project BioSphere 2?,3.15 acres in Arizona.
"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum.
What name was given to the invisible material once thought to occupy all space?,Ether.
What is the name of the theory that the universe appears the same wherever and whenever viewed?,Cosmological principle.
From which areas of space can there be no escape?,Black holes.
Who was the first man to walk on the Moon?,Neil Armstrong.
Proteus and Nereid are moons of which planet?,Neptune.
What is the Milky Way?,"Our galaxy, a spiral galaxy system."
Which force is nothing more than the bending of space and time?,Gravity.
"Which star is as bright as 23 Suns, and is orbited by the Pup?",VY Canis Majoris's companion.
What are the three primary colours of light?,"Red, green, and blue."
Which three South American countries does the Equator cross?,"Ecuador, Colombia, and Brazil."
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple (1985)
What is the second lightest chemical element?,Helium.
"Used in mathematics, what is the value of Pi to three decimal places?",3.142.
"What colour is the number 10 on the door of 10 Downing Street? White, Yellow or Brown?","Zero, it's brass with a black background and number."
What was advertised with Eva Herzagovia using the slogan hello boys?,Wonderbra ads featured Eva Herzigová with that slogan.
What number in Bingo is sometimes referred to as Heinz varieties?,"57, referencing Heinz's 57 varieties slogan."
The largest ever teddy bears picnic was held in Dublin in 1995. How many bears were there?,"Approximately 33,573 teddy bears attended."
"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?","Reg Lewis and then Thierry Henry, now."
How many verses make up the national anthem God Save The Queen?,"Three verses, but only one is commonly sung."
What colour is the cross on the national flag of Switzerland?,White cross on a red background.
Who was the American President when the Berlin Wall was constructed?,Dwight Eisenhower.
What is the minimum number of darts a person needs to throw to complete a leg from 501?,9 darts.
What was the first British football team to win the European Cup?,"Celtic, 1967."
What is the most popular natural attraction in Alaska?,Denali National Park and Preserve.
"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",Citric acid.
What is the difference between a frog and a toad?,"Frogs have smooth skin, toads are dry."
How many pieces are there in a standard set of dominoes?,28 pieces in a standard set.
What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol.
"As at the year 2001, what are the only two films to receive 14 Oscar nominations?",Titanic and All About Eve.
"What were Benjy and Laska, which were sent into space in 1958?","Dogs, part of Soviet space program."
In what year in the 20th century was the Miss World contest held for the first time?,1951
In which year was the Encyclopedia Britannica first published?,1768 and 1771 in three volumes.
"On the London Underground, which is the only line to connect at some point with every other line on the system?","District Line and Circle, but mainly the District."
"In 1981, what became the first ever music video to be shown on MTV?","""Video Killed the Radio Star"" by The Buggles."
Who wrote The Importance Of Being Earnest?,Oscar Wilde.
"Thomas Edison, who invented the lightbulb, was afraid of the dark?","No, that's a common myth."
Taphephobia is the fear of losing your teeth?,"Yes, that's correct."
The letter t is the second most common letter used in the English language?,"The letter ""t"" is actually the 9th."
"The invention of what in 1867, made Alfred Nobel famous?",Dynamite.
What is the most populated city in America?,New York City.
What is the only letter of the alphabet which does not appear in any of the names of the 50 American states?,Q.
"In 1931, what became the first ever televised sports event?","Wimbledon tennis match, 1931."
What was the Spice Girls' debut single called?,Wannabe.
What are the only two musical notes which have no flats?,B and F.
"From which country do French fries originate? France, Belgium or Switzerland?",Belgium.
For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Harry Potter and the Prisoner of Azkaban.
"Mary has a large bedroom and the only light switch is on the wall approximately 20 feet away from her bed. How can she turn off the light, but still get into bed before it is dark?",Use a timer or ask someone for help.
What is the longest word can be typed using only the top row of letters on a typewriter?,"Typewriter row: ""Typography""."
"A man lives on the 20th floor of a block of flats. If it is a rainy day, he gets into the elevator in the morning, goes down to the ground floor and goes off to work. In the afternoon when he comes home, he gets into the elevator and goes straight to the 20th floor. However, if it is a sunny day he goes down to the ground floor in the morning, but when he comes home he only goes up to the 10th floor and then walks up 10 flights of stairs. Why?","He is of short stature, can't reach 20 buttons."
What is the only football league team in Britain which doesn't have any of the letters from the word football in its name?,Accrington Stanley.
In which city would you find O'Hare International Airport?,Chicago.
Which Asian country was once called Siam?,Thailand.
Which three countries does Luxembourg border?,"Belgium, France, and Germany."
What are the names of Donald Duck's three nephews?,"Huey, Dewey, and Louie."
"In which 1993 film does a boy called Jonah write to a woman called Annie, asking her to meet his father at the Empire State building on St. Valentine's Day?",Sleepless in Seattle.
Who had a top ten hit in 1988 with Valentine?,T'Pau.
What is the second most common word in written English?,"""of"" is the second most common word."
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pac-Man.
"More commonly known as the thigh bone, what is the medical name for the longest bone in the human body?",Femur.
"What word is used to describe someone who is neither left or right handed, but can use both hands with equal ease?",Ambidextrous.
"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",Blade Runner.
"Which ITV magazine style show ran from 1968 to 1980 and featured presenters including Jenny Hanley, Mick Robertson and Tommy Boyd?",Magpie.
Which type of animal was Robin Hood in the Disney cartoon film 'Robin Hood'?,Fox.
Who provided the voice for Bob The Builder on his number one hit Can We Fix It?,Neil Morrissey voiced Bob the Builder.
Which actor received 4 million dollars for his 10 minutes on screen in the film Superman?,Marlon Brando.
"Who directed the films Thelma and Louise, Hannibal and Black Hawk Down?",Ridley Scott directed those films.
"Which serial killer is the subject of the films A Study In Terror, Murder By Decree and From Hell?",Jack the Ripper.
"In cricket, what is the score of 111 known as?",Nelson.
"Yuppy Love, Danger UXD, The Frog's Legacy, Diamonds Are For Trevor?",Only Fools and Horses episode titles.
"Batman Returns, Practical Magic, Dead Calm, The Peacemaker?",Nicole Kidman movies.
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby wrote those novels.
"With which game would you use a squidger, a circular disc between 25mm and 51 mm?",Tiddlywinks
The melody for which famous song was written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1893?,Happy Birthday to You.
What is the most common pub name in the UK?,The Red Lion.
What is the name of Kevin the teenager's friend played by Kathy Burke in a series of sketches with Harry Enfield?,Perry.
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Radar is the answer.
Which fruit can go in the middle of the word aped to make a new word?,Grape.
How many scottish football league teams names end in United?,"One, Dundee United."
Who had a top ten hit in the UK with Cupid in 1961?,Sam Cooke.
Which 1999 Oscar winning film has a title which refers to a breed of rose and features a red rose on it's poster?,American Beauty.
The theme tune to which TV show starts with the line Stick a pony in me pocket?,Only Fools and Horses.
What word is given to a point in tennis which has to be replayed?,Let.
Which three colours appear on the flag of the Republic of Ireland?,"Green, white, and orange."
How many episodes of Prisoner: Cell Block H were made?,692 episodes were made.
Who is the last English-born player to win the men's singles title at Wimbledon?,Fred Perry in 1936.
